"queueLength:vector OppNet.Q3 ($0=11, $1=7.5, #0 - PreliminarySimulation-1-20191008-08:07:21-8328)",
0,0
16.339914533089,1
16.473812629756,0
188.494993348879,1
190.45771514457,0
208.169859499255,1
209.09696261482,0
210.629217768052,1
211.086400346096,0
259.816383143992,1
260.310496371462,0
269.583064464435,1
270.578096416087,0
291.788040638353,1
291.892000534719,0
301.625473713541,1
301.696225468286,2
301.766977223031,3
302.80362547639,2
303.709023575368,1
304.014080227593,2
305.595504468342,1
309.151088703445,0
340.975206014293,1
341.994222428638,0
348.282529065939,1
348.845745689878,0
481.158627335722,1
481.294959898171,0
510.600174806541,1
511.055948123975,0
518.049001367677,1
518.252761957169,0
522.967717905271,1
523.038469660016,2
523.652846848332,1
524.135139885294,0
717.257021140234,1
717.532591388868,0
724.635095946625,1
725.018170672014,0
832.846859773693,1
835.059715492576,0
857.440442461663,1
858.020927163947,0
982.796962415565,1
982.911958103415,0
997.623863783092,1
999.470204270126,0
1005.001938589483,1
1005.218727716301,0
1014.839371664671,1
1015.00635314906,0
1022.217446471062,1
1022.535952457604,0
1041.892312621438,1
1042.178571784158,0
1068.945253578205,1
1069.01600533295,2
1069.520320442854,1
1069.549111907049,0
1086.160761459784,1
1087.015954387205,0
1118.132418954145,1
1118.20317070889,2
1118.273922463635,3
1121.166878803549,2
1122.33299522538,1
1123.077136204823,0
1201.750600093243,1
1203.364975354802,0
1204.139206607295,1
1204.20995836204,2
1204.790390710334,1
1205.433471755871,0
1250.937765469183,1
1251.348514654778,0
1292.746856038732,1
1292.960405179619,0
1324.718513533093,1
1324.743796192361,0
1346.852737952266,1
1347.358517377192,0
1391.121186790612,1
1391.411171692033,0
1541.142041187229,1
1541.619735373215,0
1582.951131756778,1
1583.026443449263,0
1605.085356175951,1
1605.320458780781,0
1737.890702690989,1
1737.969441191082,0
1873.155407474824,1
1875.482490902721,0
1875.544013988876,1
1876.823410253636,0
1996.123320914674,1
1996.154212411704,0
2060.066635903396,1
2060.766193461047,0
2069.904068978584,1
2070.77921697101,0
2136.306742236103,1
2137.703864605415,0
2278.949521826329,1
2280.249083054365,0
2367.486419503021,1
2367.515277381173,0
2475.698183330089,1
2477.226437375577,0
2490.454332942871,1
2490.525084697616,2
2490.637826251083,1
2490.861341171733,0
2512.588557362044,1
2513.241369090416,0
2549.478931393999,1
2550.700855920883,0
2556.85700620039,1
2557.048476931687,0
2578.991230619563,1
2579.298373226515,0
2588.828663694751,1
2588.899415449496,2
2589.48926074751,1
2590.208208776812,0
2768.361817316932,1
2769.16255799332,0
2780.658608660917,1
2780.729360415662,2
2780.786276099623,1
2783.03256745183,0
2797.874116542496,1
2798.444811397782,0
2896.177695539631,1
2896.248447294376,2
2896.675725165208,1
2896.753519570407,0
3006.919569390241,1
3008.247282034659,0
3228.261813581971,1
3228.681419315427,0
3230.721171850768,1
3231.970493018206,0
3238.099246657159,1
3238.372024684949,0
3267.611545882723,1
3268.348177931405,0
3270.000152396775,1
3270.758923262637,0
3314.339352989866,1
3314.694023732786,0
3454.522774311295,1
3456.30087045957,0
3508.628656224829,1
3509.20555912424,0
3520.925447568814,1
3521.084288142416,0
3525.773412351663,1
3527.395467606135,0
3607.002986976709,1
3607.616711208356,0
3643.893361008664,1
3643.961119881088,0
3658.649510621446,1
3658.774973412112,0
3685.702451578213,1
3685.773203332958,2
3686.480829885631,1
3686.579819249702,0
3690.621168115807,1
3690.691919870552,2
3691.141952807339,1
3691.831822261574,0
