"queueLength:vector OppNet.Q1 ($0=17, $1=7.5, #0 - PreliminarySimulation-4-20191008-08:07:21-8328)",
0,0
2.618118139252,1
4.421177597459,0
19.095678569277,1
22.105887987295,0
31.426726703865,1
35.369420779672,0
35.386810766364,1
35.570042086326,0
43.397438009663,1
44.272858093578,0
45.256101651662,1
48.694035691037,0
51.684244277963,1
51.983091815807,2
53.115213288496,1
53.31583459515,0
66.724872302307,1
70.86100579732,0
76.902318006839,1
79.703360992238,0
83.239376590699,1
83.501244445662,2
84.124538589697,1
84.325159896351,0
99.235762323444,1
101.870331098521,0
104.250181664429,1
106.29150869598,0
112.175855081048,1
113.126627503112,2
115.133863890898,1
115.334485197552,0
119.952325807962,1
123.511680225595,2
124.037301204804,1
124.237922511458,0
126.006652186168,1
126.015086169992,2
128.519560921251,1
128.665820421373,2
128.720182227905,1
128.920803534559,0
134.243935761309,1
137.422998235157,0
145.902533721161,1
146.265353430075,0
149.791448748538,1
150.686531027534,0
152.43183949226,1
153.658735992158,2
155.107708624993,1
155.308329931647,0
161.863912431675,1
164.011145938899,0
172.517427586887,1
172.853501133817,0
173.974011701666,1
175.636102220153,2
177.274678731276,1
177.47530003793,0
181.024472918216,1
181.756938447723,0
187.319291446529,1
187.810445483265,2
190.599293642641,1
190.799914949295,0
193.71635592153,1
195.081553359088,0
197.01935798056,1
199.502730956547,0
205.489614770031,1
207.382786060298,2
208.345086151465,1
208.545707458119,0
211.798636605126,1
212.827345867912,0
228.216883297428,1
230.512056257748,0
231.194628857506,1
231.72262619031,2
234.933233855207,1
235.133855161861,0
236.342263066742,1
239.415493571654,0
247.145937341732,1
248.257848766572,0
260.485301790331,1
260.559831294557,2
261.521381558949,1
261.722002865603,0
276.961620250312,1
278.426863054063,2
279.267174067773,1
279.467795374427,0
289.680384461407,1
292.591788979138,0
303.915829017621,1
305.855321771515,0
305.889378286965,1
306.055943078169,0
306.111307106557,1
306.256564384823,0
319.3216686578,1
323.601114280339,0
342.137857808912,1
345.272731338993,2
345.707002267634,1
345.907623574288,0
350.365180068803,1
354.61043958154,0
369.566773186011,1
369.647422553759,2
370.15712391422,3
372.295149971376,2
372.49577127803,1
372.696392584684,0
373.648267989201,1
376.777409687823,0
380.141748742277,1
381.25966940427,0
385.381536067777,1
385.680847001729,0
387.299259229453,1
387.951779610107,2
390.102024599188,1
390.302645905842,0
411.603932653588,1
412.268994705471,0
414.905816048989,1
416.69017230293,0
426.813192664211,1
429.953705095307,0
431.315944411181,1
434.374882692766,0
446.736448082438,1
447.638415485143,0
450.481756826854,1
452.059593082602,0
452.881366731536,1
454.904015275846,2
456.480770680061,1
456.681391986715,0
464.590580482639,1
465.384207993967,0
466.956598083105,1
467.604293573229,2
469.805385591426,1
470.00600689808,0
471.343060328997,1
474.287645307873,0
479.769205240716,1
483.130000502791,0
485.342989576663,1
487.55117810025,0
496.874288919243,1
500.814710892627,0
520.828963531787,1
522.795723948534,2
522.920598879922,1
523.121220186576,0
524.907205567,1
527.402858596369,0
535.655604617192,1
536.245213791287,0
565.237552156413,1
567.1934569735,0
567.398863357752,1
571.614634570959,0
572.414868159014,1
576.035812168418,0
580.095500356934,1
580.456989765877,0
581.301827281764,1
584.878167363336,0
587.694832596156,1
