"lifeTime:vector OppNet.sink ($0=11, $1=7.5, #0 - PreliminarySimulation-1-20191008-08:07:21-8328)",
6.058388473383,4.567539312079999177
6.867792325967,3.758330679279000095
16.473812629756,3.683771443539999507
16.48410318028,2.860607373741999902
21.722442573779,3.115811436498999487
40.678574573779,5.07209698167199894
52.463879030839,3.734330641660999802
54.206898186796,4.746803952671999815
65.54841989712,1.820065765287999675
77.088491234398,3.978151494097999377
81.769269675323,3.186924921895999837
92.65361094478,2.5293146512079998
100.687808239604,3.919102834910999515
109.741334040539,2.960288538710999602
117.202157856011,2.048873619542999503
144.460060360705,2.989822887287999707
178.724305419806,3.711733898838000187
190.45771514457,4.153572121090999025
191.821925285393,5.32675037649399916
201.059070473166,3.89234317288700014
203.36292550764,2.227346878619999683
207.235854718993,4.522620572787999987
209.09696261482,3.50449669132299933
209.829082509721,3.34860077162000012
211.086400346096,3.948260350705999657
211.132227139442,2.729661224785999695
223.378086719972,3.793753344559999775
233.469461498465,2.415499205086999437
236.65903799683,5.260493580225999085
238.623657785755,3.372935830643999807
243.267294890606,3.63474721413200007
260.310496371462,3.581813391416999592
262.692847946405,5.42719730565899992
270.578096416087,7.2838020466230002
270.908153514402,2.924012686923999725
279.639915108883,3.135588666622999717
285.612632960521,4.129080456536000177
289.310574497318,3.64850808280199955
291.892000534719,2.42084582884000009
291.950076702536,2.149255135348999695
296.943791881751,3.741531449744999607
302.80362547639,4.74789908033999984
303.709023575368,5.370979186903999975
305.595504468342,6.71009377091599998
309.151088703445,10.22054485063399906
310.409655976189,8.907649106139999125
324.349044408836,3.534175497670999792
329.373391399529,3.8020168373149996
341.994222428638,3.41305418728199948
342.14214695001,3.170905566358999992
348.845745689878,6.509945635797999205
349.901627805814,5.27465917255799963
350.793848989664,1.868418132700000001
360.596081152948,3.457530810321999925
398.647343796784,3.260571020340999645
400.214337821375,1.933962458604999926
414.640356378428,4.690149169095999315
415.746620221758,3.982752650999000095
425.07999435172,4.257167288636999545
427.391092190996,3.511431288613999317
447.011939289684,2.869976755456999475
457.808551288165,4.10418262935700005
458.998423029885,1.805940118656999871
462.258866115478,3.771492010641999555
472.583107652119,3.25068417015099963
481.294959898171,4.072124808037999687
483.820508497139,6.289999588036000205
488.790972043488,3.551793320545999482
494.428555770271,4.603844043513999987
498.237948385781,5.902642748904000285
505.762343601951,3.374222201089999362
511.055948123975,6.25828895036999985
511.420097101009,3.569843907611999425
518.252761957169,3.308994425605999532
518.315132914814,2.667456778695999725
523.652846848332,3.362351107768999352
524.135139885294,2.96622782961699992
524.52965184657,3.21424308543500013
526.136380333791,3.693714705632999952
536.271267248945,3.13617520650300018
540.546414352097,3.217517772752000117
545.39779940117,2.09699281015899962
550.098035227861,3.01967786770600009
556.132031577592,5.10486670066999969
573.516119924584,3.158020128610999667
584.40053518782,3.927375133437999805
588.505721871552,5.148806381850999235
597.513141786632,4.218276168020999237
612.013357072193,3.892238609180999717
614.064785310696,3.708072095491999662
621.847080669335,2.558277777224000167
624.055927236838,3.12811439218099972
634.290057540197,2.416489899747999985
636.334648480302,4.178907888726000037
638.674663868012,2.197566991370999633
641.806139858158,4.47850359063200008
646.55046454227,2.922824883220999742
660.92742931856,2.53642160314599962
671.491658673664,3.779562981974000187
674.874258153659,4.94796594722100023
675.664996528546,3.894417921629999655
688.135287086183,2.385206315951999825
704.966171146337,3.518645406329000012
717.532591388868,3.71620362432900018
717.604264072635,2.451427159745000127
719.769621882926,1.931224436267999772
723.093359511135,3.906867795041999425
725.018170672014,2.672997240212999327
725.803313873739,2.88663557782599954
754.327649137926,4.04768080826499953
761.059450671553,5.219259387156998975
762.243655027944,3.673332675000000142
770.230155664366,3.641011575941999625
779.280556636233,2.20935066187999939
785.525332118016,5.733788637386998825
791.396621270643,2.63995970947699997
803.533356698985,3.382075856083999612
808.768048613815,4.00894846421199878
817.60606854633,5.055240168407999925
835.059715492576,5.93338466217499946
835.604552845667,5.046562659211000195
843.164063000334,2.953325669688999775
858.020927163947,3.980947285420000077
858.49596136353,3.20030819093799933
865.387709316616,2.245721813072999665
879.881772387122,4.354650249466999392
891.285451215184,5.702752500518998935
893.270206170407,4.780803219523999535
911.584272620282,2.88724296110399957
917.044773207063,4.138873772371999477
938.893617882652,3.09976856670099997
945.38970783375,5.585634414744999865
