"queueLength:vector OppNet.Q2 ($0=54, $1=7.5, #0 - PreliminarySimulation-7-20191008-08:07:21-8328)",
0,0
5.508936384223,1
6.00543422255,0
40.128008574677,1
40.624506413004,0
42.986995353195,1
43.483493191522,0
44.522645239549,1
45.019143077876,0
46.058295125903,1
46.55479296423,0
58.180640149569,1
58.677137987896,0
63.686300712415,1
64.182798550742,0
67.868624383097,1
68.365122221424,0
70.727611161615,1
71.224108999942,0
72.263261047969,1
72.759758886296,0
75.122247826487,1
75.618745664814,0
92.537940418809,1
93.034438257136,0
103.336948550311,1
103.833446388638,0
106.195935328829,1
106.692433167156,0
128.904975489807,1
129.401473328134,0
130.440625376161,1
130.937123214488,0
131.976275262515,1
132.472773100842,0
140.128609609689,1
140.625107448016,0
146.957607064699,1
147.454104903026,0
156.433278304037,1
156.929776142364,0
164.585612651211,1
165.082110489538,0
170.091273214057,1
170.587771052384,0
200.740334728019,1
201.236832566346,0
206.245995290865,1
206.742493129192,0
213.074992745875,1
213.571490584202,0
215.933979524393,1
216.43047736272,0
225.409650763731,1
225.906148602058,0
232.238648218741,1
232.735146057068,0
241.714319458079,1
242.210817296406,0
243.249969344433,1
243.74646718276,0
280.515715319215,1
281.012213157542,0
282.051365205569,1
282.547863043896,0
307.407079150875,1
307.903576989202,0
339.379477557001,1
339.875975395328,0
348.855148796339,1
349.351646634666,0
350.390798682693,1
350.88729652102,0
353.249785461211,1
353.746283299538,0
357.432109131893,1
357.92860697022,0
358.967759018247,1
359.464256856574,0
360.503408904601,1
360.999906742928,0
371.302417036103,1
371.79891487443,0
382.101425167605,1
382.597923005932,0
398.193780867763,1
398.69027870609,0
402.376104538445,1
402.872602376772,0
403.911754424799,1
404.408252263126,0
412.064088771973,1
412.5605866103,0
413.599738658327,1
414.096236496654,0
433.662105034977,1
434.158602873304,0
436.521091813495,1
437.017589651822,0
440.703415484177,1
441.199913322504,0
446.209076047023,1
446.70557388535,0
454.361410394197,1
454.857908232524,0
466.483755417863,1
466.98025325619,0
469.342742196381,1
469.839240034708,0
485.435097896539,1
485.931595734866,0
492.264095351549,1
492.760593189876,0
507.033114159543,1
507.52961199787,0
508.568764045897,1
509.065261884224,0
512.751087716579,1
513.247585554906,0
516.933411387261,1
517.429909225588,0
525.085745734435,1
525.582243572762,0
572.938186846529,1
573.434684684856,0
579.767184301539,1
580.263682139866,0
581.302834187893,1
581.79933202622,0
592.101842319395,1
592.598340157722,0
598.930839774405,1
599.427337612732,0
620.316543043219,1
620.813040881546,0
623.175529821737,1
623.672027660064,0
633.974537953239,1
634.471035791566,0
635.510187839593,1
636.00668567792,0
644.985859078931,1
