"queueLength:vector OppNet.Q1 ($0=54, $1=7.5, #0 - PreliminarySimulation-7-20191008-08:07:21-8328)",
0,0
4.087820169965,1
5.293347568656,0
39.852076773044,1
39.91241975911,0
41.873734847164,1
42.771406537628,0
43.708692082676,1
44.307056423982,0
45.794926138988,1
45.842706310336,0
57.917687227433,1
57.965051334002,0
63.089571141412,1
63.470711896848,0
66.685441843265,1
67.65303556753,0
69.844624463536,1
70.112045878601,2
70.512022346048,1
72.047672232402,0
74.003404257594,1
74.90665901092,0
91.979826598523,1
92.322351603242,0
102.038271720689,1
103.121359734744,0
105.489006151899,1
105.980346513262,0
128.327537656773,1
128.68938667424,0
129.773606594983,1
129.816463822626,2
130.225036560594,1
131.760686446948,0
139.369545779322,1
139.913020794122,0
146.145809443565,1
146.742018249132,0
154.930527657314,1
156.21768948847,0
163.073566377204,1
164.370023835644,0
169.220905868731,1
169.87568439849,0
200.319474866872,1
200.524745912452,0
204.974824910851,1
206.030406475298,0
212.557635189227,1
212.859403930308,0
215.105001160059,1
215.718390708826,0
225.185782294526,1
225.194061948164,0
231.031078667188,1
232.023059403174,0
240.30122732794,1
241.498730642512,0
241.61576189334,1
243.034380528866,0
279.110224060533,1
280.300126503648,0
281.431717126895,1
281.835776390002,0
306.777354577158,1
307.191490335308,0
338.807649718002,1
339.163888741434,0
347.383443342319,1
348.529150935741,2
348.639559980772,1
350.175209867126,0
352.886084982057,1
353.034196645644,0
356.532170846233,1
357.216520316326,0
358.247855943349,1
358.75217020268,0
360.104853070875,1
360.287820089034,0
370.064805815635,1
371.086828220536,0
381.845315093357,1
381.885836352038,0
397.243144264099,1
397.978192052196,0
401.405715657327,1
401.669619041102,2
402.160515722878,1
403.696165609232,0
411.455943744788,1
411.848499956406,0
412.090145078251,1
413.38414984276,0
433.403039720834,1
433.44651621941,0
435.565406858801,1
436.305502997928,0
439.768303045386,1
440.48782666861,0
445.676070084242,1
445.993487231456,0
453.111333129028,1
454.14582157863,0
465.990923715955,1
466.268166602296,0
468.85507737264,1
469.127153380814,0
485.136596885861,1
485.219509080972,0
490.726579094109,1
492.048506535982,0
506.610041420059,1
506.817525343976,0
507.062359840714,1
508.35317523033,0
511.610756427876,1
512.535498901012,0
516.265997975011,1
516.717822571694,0
524.558820022775,1
524.870156918868,0
571.791304030589,1
572.722598030962,0
578.234960623686,1
579.551595485972,0
580.314777153442,1
581.087245372326,0
590.71265835006,1
591.886253503828,0
597.640268220204,1
598.715250958838,0
619.439481319313,1
620.100954227652,0
622.15577778632,1
622.95994100617,0
632.847244938388,1
633.278809141875,2
633.758949137672,1
635.294599024026,0
644.433706181992,1
644.770270263364,0
661.803485573383,1
662.185962855686,0
678.74477952299,1
679.601655448008,0
679.627220074226,1
681.088254962104,2
681.137305334362,1
682.672955220716,0
688.055565349706,1
688.178615783562,0
690.761404444245,1
691.03760256208,0
705.865239710362,1
707.129958262238,0
711.328895475814,1
712.635618825084,0
724.546818905082,1
724.75796384875,0
734.36155251124,1
735.556971980252,0
746.133146419474,1
746.355980111754,0
747.643948517745,1
747.891629998108,0
748.697265167188,1
749.427279884462,0
749.725871503772,1
750.962929770816,0
751.585830498691,1
751.602116285742,2
752.133376711425,3
752.49857965717,2
753.834484736736,3
754.034229543524,2
755.569879429878,1
757.105529316232,0
769.332461716138,1
770.551211232062,0
781.587853130961,1
782.673556255728,0
787.568007403548,1
788.179216818574,0
789.467480336267,1
789.714866704928,0
796.45837014841,1
796.543864159938,0
800.224466714255,1
800.72618783062,0
806.284373866961,1
807.55518528563,0
810.100589821323,1
810.414172064148,0
811.729788500606,1
811.949821950502,0
845.591129839299,1
846.568894140956,0
850.261939963304,1
850.751217811638,0
857.132175371399,1
857.580215266648,0
861.279052406637,1
861.76253893733,0
878.140749682588,1
879.178231529652,0
883.604727924561,1
884.683892092498,0
888.743716672048,1
888.86621576318,0
894.103656130566,1
894.371876326026,0
896.464010159629,1
897.230863104544,0
898.990398386846,1
900.089849883062,0
920.102362098146,1
920.152216259712,0
939.953966219961,1
940.214582636362,0
953.89827754295,1
954.983601444356,0
955.944651827579,1
956.51925133071,0
956.697775503765,1
957.839730252229,2
958.054901217064,1
959.590551103418,0
974.265884118568,1
974.359569911412,0
981.678755752756,1
982.511904258586,0
984.439706719825,1
985.316051788136,2
985.370891037104,1
985.906680889888,2
986.906540923458,1
988.442190809812,0
988.507135225817,1
989.977840696166,0
1019.802427242767,1
1020.626902210128,0
1027.66664962419,1
1028.779236557302,0
1029.684756574873,1
1030.314886443656,0
1059.311369001683,1
1059.640611065454,0
1068.394610080033,1
1069.116282304792,0
1069.849592213888,1
1070.651932191146,0
1079.12318593685,1
1080.127603430484,0
1080.823032380279,1
1080.971154996005,2
1081.663253316838,1
1081.725518906712,2
1083.198903203192,1
1083.542049696467,2
1084.734553089546,1
1086.2702029759,0
1088.637727816263,1
1089.129189754418,0
1089.424621962804,1
1090.664839640772,0
1106.675485783167,1
1106.75719534093,0
1117.331419928695,1
1117.556203472432,0
1140.851338695755,1
1141.588580525574,0
1150.44201701547,1
1151.064251764912,0
1157.864186125076,1
1157.893249219922,0
1171.088609757123,1
1171.338931135752,0
1174.933762566375,1
1175.521254806434,0
1178.171553313879,1
1178.380241584952,0
1184.629565732744,1
1185.209239039962,0
1187.567752809955,1
1188.06822581848,0
1188.523752839128,1
1189.458744960043,2
1189.603875704834,1
1191.139525591188,0
1192.339671909584,1
1192.675175477542,0
1197.215615382877,1
1197.626111955658,2
1198.180836040388,1
1198.594945041335,2
1199.716485926742,1
1201.252135813096,0
1224.91322809536,1
1225.284512866238,0
1250.952646238947,1
1251.611662178553,2
1251.963563703708,1
1253.499213590062,0
1259.932282338471,1
1260.328211045072,0
1262.735142586831,1
1263.18719782359,0
1272.803832745415,1
1273.986205955092,0
1280.904594931528,1
1282.138540302266,0
1284.098112086951,1
1284.997527080784,0
1295.958989026748,1
1297.11987210445,0
1304.687542814649,1
1305.272206451624,0
1337.874930660387,1
1338.567941749914,0
1350.917669087749,1
1352.013623665744,0
1361.674739383482,1
1362.812631797246,0
1365.516034845181,1
1365.671618575764,0
1368.77514540123,1
1369.853942246446,0
1373.552288614398,1
1374.036265917128,0
1386.69690573395,1
1387.481947832958,0
1400.778200669946,1
1400.927629748788,0
1416.364698584864,1
1417.019985448946,0
1424.257702713169,1
1425.17231979612,0
1435.358379249265,1
1435.971327927622,0
1459.955458118884,1
1460.003704980764,0
1462.17751572733,1
1462.862691759282,0
1472.539934056348,1
1472.661501197781,2
1473.661699890784,1
1474.617237713469,2
1475.197349777138,1
1476.732999663492,0
1482.055681275324,1
1482.238660226338,0
1489.469481493348,1
1490.390994573512,0
