"queueLength:vector OppNet.Q1 ($0=11, $1=7.5, #0 - PreliminarySimulation-1-20191008-08:07:21-8328)",
0,0
1.490849161303,1
2.459358268797,0
3.109461646688,1
4.918716537594,0
12.790041186216,1
13.623495806538,2
14.756149612782,1
14.826901367527,0
18.60663113728,1
19.674866150376,0
35.606477592107,1
36.890374031955,0
48.729548389178,1
49.18716537594,0
49.460094234124,1
51.646523644737,0
63.728354131832,1
63.943314988722,0
73.1103397403,1
73.78074806391,0
78.582344753427,1
78.699464601504,0
90.124296293572,1
90.996255945489,0
96.768705404693,1
98.37433075188,0
106.781045501828,1
108.211763827068,0
115.153284236468,1
115.589838633459,0
141.470237473417,1
142.642779590226,0
175.012571520968,1
177.073795353384,0
186.304143023479,1
186.495174908899,2
186.911228428572,1
186.981980183317,0
197.166727300279,1
199.208019772557,0
201.13557862902,1
201.667378041354,0
202.713234146205,1
204.126736310151,0
205.592465923497,1
206.480481738101,2
206.586094578948,1
206.656846333693,0
207.13813999539,1
208.402565914656,2
209.045452847745,1
209.11620460249,0
219.584333375412,1
221.34224419173,0
231.053962293378,1
231.179677266918,0
231.398544416604,1
233.639035535715,0
235.250721955111,1
236.098393804512,0
239.632547676474,1
241.017110342106,0
256.728682980045,1
257.265650640746,2
258.232618223685,1
258.30336997843,0
263.294294369464,1
265.610693030076,0
267.984140827478,1
268.070051298873,0
276.50432644226,1
277.907484374061,0
281.483552503985,1
282.826200911655,0
285.662066414516,1
287.744917449249,0
289.471154705879,1
289.800821567187,2
290.204275718046,1
290.275027472791,0
293.202260432006,1
295.12299225564,0
298.05572639605,1
298.338044388464,2
298.885410697426,3
298.930543852811,4
300.041708793234,3
300.112460547979,2
300.183212302724,1
300.253964057469,0
301.502006870049,1
302.501067062031,0
320.814868911165,1
322.175933212407,0
325.571374562214,1
327.094649750001,0
338.581168241356,1
338.971241383651,2
339.391441093986,1
339.462192848731,0
342.33580005408,1
344.31015763158,0
344.626968633256,1
346.769515900377,0
348.925430856964,1
349.228874169174,0
357.138550342626,1
359.066307244362,0
395.386772776443,1
395.956681276317,0
398.28037536277,1
398.416039545114,0
409.950207209332,1
