"queueLength:vector OppNet.Q3 ($0=17, $1=7.5, #0 - PreliminarySimulation-4-20191008-08:07:21-8328)",
0,0
118.784224655483,1
118.86852521966,0
127.687661969389,1
128.006546735283,0
132.169921685836,1
132.37270808294,0
158.758069389578,1
159.140666869669,0
180.925039495861,1
181.987105506913,0
211.99544691605,1
214.444790925933,0
238.583594619792,1
239.244153568129,0
282.917534832358,1
284.764278317649,0
309.5056825361,1
309.700989575583,0
349.357363032219,1
349.743587853446,0
375.945510735961,1
376.961241858764,0
380.427770452408,1
382.696337856092,0
460.131131444646,1
461.883980269592,0
473.455746356011,1
474.819628969031,0
526.570959644507,1
527.4101748923,0
632.740304102511,1
632.902964036966,0
672.59198459863,1
674.030009065249,0
721.286020289667,1
723.276998373594,0
968.933047866359,1
970.708831289888,0
991.100017972642,1
991.980443641489,0
1132.760947448294,1
1132.901570646695,0
1141.463763455546,1
1141.6643847622,2
1143.218354992601,1
1143.524197743865,0
1199.200775648155,1
1199.84023249296,0
1203.683035364602,1
1204.469156401597,0
1217.007650275967,1
1217.202080924013,0
1230.332265187332,1
1231.793215666534,0
1252.499235293615,1
1253.4328851852,0
1274.666205399898,1
1275.136768156419,0
1283.569642713804,1
1283.79676248946,0
1341.167115718747,1
1341.281543114697,0
1394.282329007243,1
1394.75407063108,0
1403.185766321149,1
1403.399143584806,0
1420.931558829973,1
1421.436436838542,0
1434.256173741338,1
1435.846725203248,0
1438.738433457785,1
1438.862691275604,0
1589.302800247343,1
1589.704942792125,0
1611.469770353626,1
1611.528406973475,0
1735.445989439442,1
1737.326345289133,0
1757.612959545725,1
1758.878162638139,0
1766.516396859631,1
1769.078096047591,0
1815.210432550668,1
1816.183447725404,0
1819.692692267115,1
1820.354087679237,0
1833.01730717848,1
1834.209764893828,0
1864.026632479681,1
1865.518649827645,0
1930.466460679542,1
1930.526256088525,0
1965.896963578202,1
1966.769179592896,0
2129.541616803173,1
2130.232637456343,0
2218.026250871341,1
2218.403101307036,0
2249.035576172542,1
2250.004388445074,0
2253.517835888989,1
2254.470561580594,0
2337.581292359698,1
2338.483037479116,0
2399.538860843112,1
2399.833533065952,0
2404.021120559559,1
2405.090027306848,0
2443.872801055678,1
2444.189196147694,0
2523.515079928928,1
2523.824173984164,0
2545.682050035211,1
2545.696949837085,0
2598.797263323707,1
2599.757074505757,0
2638.648943819826,1
2638.793090732698,0
2660.876996045097,1
2661.700228847491,0
2740.580357037335,1
2741.017588293559,0
2762.747327143618,1
2765.106000697689,0
2771.650764457524,1
2772.034907535638,0
2824.76597774602,1
2825.109093858236,0
2833.669415059926,1
2833.930380577492,0
2900.170325378775,1
2901.311920701464,0
2913.49494029014,1
2914.193376616506,0
2957.828880502706,1
2958.216174392909,0
3002.101738596284,1
3003.762471634842,0
3006.583998312731,1
3006.669863862443,0
3037.593323613932,1
3039.302251257799,0
3121.717862203629,1
3122.159555681878,0
3143.884832309912,1
3144.651464960213,0
3236.851726094527,1
3237.030949648062,0
3263.439873798269,1
3263.754117708932,0
3378.451573451191,1
3378.814636127146,0
3400.679625676462,1
3401.342091918122,0
3444.95248377004,1
3445.492637166569,0
3502.488874655995,1
3502.930054804992,0
3515.81348956736,1
3516.540499467878,0
3560.086347660938,1
3560.103280888487,0
3622.043916144352,1
3622.648177689143,0
3653.053241445553,1
3653.817247326502,0
3657.535501162,1
3657.849636799556,0
3701.808359255578,1
3701.996934417944,0
3706.290618972025,1
3706.693046576722,0
3710.772878688472,1
3711.218068376923,0
3715.255138404919,1
3715.304440045098,0
3750.685641303579,1
3751.08410724908,0
3772.852611409862,1
3774.023510376352,0
3901.188925974149,1
3901.196597008244,0
3914.513540885514,1
3915.460139534031,0
3936.680510991797,1
3936.808334706377,0
3941.162770708244,1
3941.516200803371,0
3950.06620802215,1
3950.479469094197,0
4003.181421310646,1
4003.589993834092,0
4025.348391416929,1
4025.38960866662,0
4060.778894315589,1
4062.146159536934,0
4096.209397214249,1
4096.35683813461,0
4122.797544917991,1
4127.079183327784,2
4127.448027713738,1
4128.705807699239,0
4193.597468596323,1
4194.510394801568,0
4237.870326689901,1
4238.271088127885,0
4242.352586406348,1
4242.692930539436,0
4260.098378915172,1
4260.517064642721,0
4291.107704216373,1
4291.11440895269,0
4295.58996393282,1
4296.188611946416,0
4321.977490329908,1
4322.178111636562,2
4322.358939245673,1
4322.702660396368,0
4370.872147327599,1
4373.342835433319,0
4379.775584641505,1
4379.961422115227,0
4481.584833621038,1
4483.134186888641,0
4543.60348422344,1
4543.704314001599,0
4583.455164719559,1
4583.987392742749,0
4689.624509177563,1
4690.1652545418,0
4694.10676889401,1
4694.726655930902,0
4707.431383805375,1
4708.606261077007,0
4716.334821119281,1
4716.945463100453,0
4813.722892501355,1
4814.459068467882,0
4818.205152217802,1
4818.907574643069,0
4836.012026845614,1
4840.079124536273,0
4995.296584592114,1
4996.320893889929,0
5101.465929050118,1
5101.648999594837,0
5128.115158872848,1
5129.301983807684,0
5168.027921487955,1
5168.118279625702,0
5176.931358801861,1
5178.840630649615,0
5216.78303929798,1
5217.197448898355,0
5230.107654209345,1
5230.702071970173,0
5234.589913925792,1
5235.198009000979,0
5239.072173642239,1
5239.204292308878,0
5358.566133011608,1
5358.726535148888,0
5389.575458312809,1
5389.891148988338,0
5394.057718029256,1
5394.369028262958,0
5473.699996902506,1
5474.905889203728,0
5504.709322203707,1
5505.182923475423,0
5540.139825102367,1
5541.075135365278,0
5544.622084818814,1
5545.264118778772,0
5672.958399383101,1
5674.071291123248,0
5677.440659099548,1
5677.75976852413,0
5704.02880680329,1
5705.39293029574,0
5788.214427511975,1
5789.04534371383,0
5881.18132129659,1
5881.819993425992,0
5934.357616704074,1
5934.705190325857,0
5938.839876420521,1
5939.342846656792,0
5969.849201721722,1
5970.456084102229,0
5987.656076349534,1
5989.112237381039,0
6005.401868858358,1
6006.608617270234,0
6018.726483769723,1
6019.807834366675,0
6045.314631473465,1
6045.549803018138,0
6102.85102235942,1
6103.000742205326,0
6133.921429779609,1
6133.952536282659,0
6209.325777412364,1
6209.614250487261,0
6222.650392323729,1
6223.678481130599,0
6240.396184832553,1
6240.71544750926,0
6302.414835434955,1
6303.480336216324,0
6368.854663634816,1
6369.268131530246,0
6505.972251275033,1
6506.262885309993,0
6559.148546682517,1
6559.595086812521,0
6621.106115165931,1
6623.88110810546,0
6638.851907674755,1
6640.112195110787,0
6656.597700183579,1
6657.693600643332,0
6665.501137497485,1
6667.252598390244,0
6692.089285201227,1
6693.84252229194,0
6727.519788099887,1
6727.977666709884,0
6732.002047816334,1
6732.963165509566,0
6753.968396615963,1
6757.023634433943,0
6789.599520821277,1
6789.641542734706,0
6802.924135732642,1
6803.757893118607,0
6922.357012983023,1
6923.065303505743,0
6926.83927269947,1
6927.115317555244,0
6935.803792132364,1
6935.851424763623,0
6957.970762238647,1
6958.28172972974,0
7046.455396306815,1
7046.682383930088,0
7050.937656023262,1
7051.239815864374,0
7126.342003656017,1
7126.592322504943,0
7135.245440969923,1
7135.357958499042,0
7175.15820358503,1
7176.322890951504,0
7219.431061678608,1
7220.479801898349,0
7228.334498992514,1
7229.118104872282,0
7237.299018425408,1
7237.571091054375,0
7392.101316455461,1
7392.999054831931,0
7449.637707341416,1
7451.036114791305,0
7591.298636817068,1
7591.511612849478,0
7617.88678452081,1
7618.731907118374,0
7697.52906339406,1
7698.033435513446,0
7710.853678305425,1
7712.094555444987,0
7741.863003606626,1
7742.546649146861,0
7759.60879611545,1
7760.633756232044,0
7803.881654209028,1
7804.521109654869,0
7852.636772019053,1
7853.378325801471,0
7870.382564527877,1
7871.956225629707,0
7888.128357036701,1
7888.400112708283,0
7905.874149545525,1
7906.001895089581,0
7932.462297249267,1
7933.032691780141,0
7941.365734563173,1
7941.630387053084,0
7981.217415059292,1
7982.588548790309,0
7985.699674775739,1
7987.42370784847,0
8029.972532869317,1
8031.232851717755,0
8052.1395029756,1
8052.882034611159,0
8087.57000587426,1
8088.078981763805,0
8136.264041565297,1
8137.387076413895,0
8158.43101167158,1
8159.197219142173,0
8162.712650081373,1
8162.913271388027,2
8163.495677855624,1
8165.841736993516,0
8193.922596689228,1
8194.184666446894,0
8198.404856405675,1
8200.213830059252,0
8233.835359304335,1
8234.507839957042,0
8251.703316051135,1
8252.061853911195,0
8256.185575767582,1
8256.233921038652,0
8300.519515980148,1
8300.642083779158,0
8335.950018878808,1
8336.400483046508,0
8340.432278595255,1
8344.646002871427,0
8358.178071104079,1
8358.285953564481,0
8402.450929197657,1
8402.652277082134,0
8561.674404825169,1
8561.965414137614,0
8574.999019736534,1
8575.024648941454,0
8623.754137546559,1
8623.943540852309,0
8676.869350835055,1
8677.557630659335,0
8907.075996497863,1
8907.666094785984,0
9022.148778269773,1
9022.594854838062,0
9057.579281168433,1
9057.885657942511,0
9084.167428872175,1
9086.25677129799,0
9088.449067281968,1
9088.649688588622,2
9089.592229619935,1
9091.110525489449,0
9101.974303499987,1
9101.993558282751,0
9164.054036221377,1
9164.573049759122,0
9243.696315094627,1
9245.252881739465,0
9287.969173188205,1
9288.744273236137,0
9292.451432904652,1
9292.669449051471,0
9301.354870218558,1
9301.639562659542,0
9354.470083507054,1
9355.631010335285,0
9367.794698418419,1
9368.351496835306,0
9381.119313329784,1
9381.131274850448,0
9429.813349020821,1
9430.100579269147,0
9447.559141529645,1
9447.954928202509,0
9465.304934038469,1
9467.666215496448,0
9487.471904144752,1
9487.897769509593,0
9496.375341458658,1
9496.661945582915,0
9549.490554747154,1
9552.66195889695,0
9607.026945633109,1
9607.562932642902,0
9611.509205349556,1
9611.934923255325,0
9651.483050083651,1
9651.664246061344,0
9775.337104931491,1
9775.390013448807,0
9779.819364647938,1
9779.985076029633,0
9784.301624364385,1
9785.288451907626,0
9810.889772068127,1
9812.593439318702,0
9837.477919771869,1
9837.570375995023,0
9872.908422670529,1
9874.044850722505,0
9926.023635959025,1
9926.16147946116,0
9952.672865781755,1
9952.696204844953,0
9957.155125498202,1
9957.6822252522,0
9974.900918007026,1
9975.595312006379,0
9992.707792634838,1
9992.784044198905,0
