"queueLength:vector OppNet.Q2 ($0=17, $1=7.5, #0 - PreliminarySimulation-4-20191008-08:07:21-8328)",
0,0
4.621798904113,1
7.670295748736,0
22.306509293949,1
25.355006138572,0
35.570042086326,1
35.77066339298,2
38.618538930949,1
38.819160237603,0
44.473479400232,1
47.521976244855,0
48.894656997691,1
51.943153842314,0
53.31583459515,1
53.516455901804,2
56.364331439773,1
56.564952746427,0
71.061627103974,1
74.110123948597,0
79.903982298892,1
82.952479143515,0
84.325159896351,1
84.525781203005,2
87.373656740974,1
87.574278047628,0
102.070952405175,1
105.119449249798,0
106.492130002634,1
109.540626847257,0
115.334485197552,1
115.535106504206,2
118.382982042175,1
118.583603348829,0
124.237922511458,1
124.438543818112,2
127.286419356081,1
127.487040662735,0
128.720182227905,1
128.920803534559,2
129.121424841213,3
131.768679072528,2
131.969300379182,1
136.250938788975,0
137.623619541811,1
140.672116386434,0
146.465974736729,1
149.514471581352,0
150.887152334188,1
153.935649178811,0
155.308329931647,1
155.508951238301,2
158.35682677627,1
158.557448082924,0
164.211767245553,1
167.260264090176,0
173.054122440471,1
176.102619285094,0
177.47530003793,1
177.675921344584,2
180.523796882553,1
180.724418189207,0
181.957559754377,1
185.006056599,0
190.799914949295,1
191.000536255949,2
193.848411793918,1
194.049033100572,0
195.282174665742,1
198.330671510365,0
199.703352263201,1
202.751849107824,0
208.545707458119,1
208.746328764773,2
211.594204302742,1
211.794825609396,0
213.027967174566,1
216.076464019189,0
230.712677564402,1
233.761174409025,0
235.133855161861,1
235.334476468515,2
238.182352006484,1
238.382973313138,0
239.616114878308,1
242.664611722931,0
248.458470073226,1
251.506966917849,0
261.722002865603,1
261.922624172257,2
264.770499710226,1
264.97112101688,0
279.467795374427,1
279.668416681081,2
282.51629221905,1
282.716913525704,0
292.792410285792,1
295.840907130415,0
306.055943078169,1
306.256564384823,2
306.457185691477,3
309.104439922792,2
309.305061229446,1
313.586699639239,0
323.801735586993,1
326.850232431616,0
345.907623574288,1
346.108244880942,2
348.956120418911,1
349.156741725565,0
354.811060888194,1
357.859557732817,0
372.49577127803,1
372.696392584684,2
372.897013891338,3
375.544268122653,2
375.744889429307,1
376.978030994477,2
380.0265278391,1
380.227149145754,0
381.460290710924,1
384.508787555547,0
385.881468308383,1
388.929965153006,0
390.302645905842,1
390.503267212496,2
393.351142750465,1
393.551764057119,0
412.469616012125,1
415.518112856748,0
416.890793609584,1
419.939290454207,0
430.154326401961,1
433.202823246584,0
434.57550399942,1
437.624000844043,0
447.839036791797,1
450.88753363642,0
452.260214389256,1
455.308711233879,0
456.681391986715,1
456.882013293369,2
459.729888831338,1
459.930510137992,0
465.584829300621,1
468.633326145244,0
470.00600689808,1
470.206628204734,2
473.054503742703,1
473.255125049357,0
474.488266614527,1
477.53676345915,0
483.330621809445,1
486.379118654068,0
487.751799406904,1
490.800296251527,0
501.015332199281,1
504.063829043904,0
523.121220186576,1
523.32184149323,2
526.169717031199,1
526.370338337853,0
527.603479903023,1
530.651976747646,0
536.445835097941,1
539.494331942564,0
567.394078280154,1
570.442575124777,0
571.815255877613,1
574.863752722236,0
576.236433475072,1
579.284930319695,0
580.657611072531,1
583.706107917154,0
585.07878866999,1
588.127285514613,0
589.499966267449,1
592.548463112072,0
616.027031852203,1
619.075528696826,0
629.29056464458,1
629.491185951234,2
632.339061489203,1
632.539682795857,0
660.299889945781,1
663.348386790404,0
669.142245140699,1
669.342866447353,2
669.543487754007,3
672.190741985322,2
672.391363291976,1
676.673001701769,0
678.045682454605,1
681.094179299228,0
682.466860052064,1
685.515356896687,0
691.309215246982,1
694.357712091605,0
695.730392844441,1
698.778889689064,0
704.572748039359,1
707.621244883982,0
708.993925636818,1
712.042422481441,0
717.836280831736,1
718.03690213839,2
720.884777676359,1
721.085398983013,0
731.160895743101,1
734.209392587724,0
740.003250938019,1
743.051747782642,0
744.424428535478,1
747.472925380101,0
748.845606132937,1
751.89410297756,0
753.266783730396,1
756.315280575019,0
770.951494120232,1
773.999990964855,0
775.372671717691,1
778.421168562314,0
779.79384931515,1
782.842346159773,0
784.215026912609,1
787.263523757232,0
793.057382107527,1
796.10587895215,0
819.584447692281,1
822.632944536904,0
828.426802887199,1
831.475299731822,0
863.796223666871,1
866.844720511494,0
868.21740126433,1
871.265898108953,0
872.638578861789,1
875.687075706412,0
894.744466849084,1
897.792963693707,0
899.165644446543,1
902.214141291166,0
903.586822044002,1
906.635318888625,0
908.007999641461,1
911.056496486084,0
925.692710031297,1
928.74120687592,0
961.062130810969,1
964.110627655592,0
965.483308408428,1
965.683929715082,2
968.531805253051,1
968.732426559705,0
987.650278514711,1
987.850899821365,2
990.698775359334,1
990.899396665988,0
992.132538231158,1
992.333159537812,2
995.181035075781,1
995.381656382435,0
1014.299508337441,1
1017.348005182064,0
1023.141863532359,1
1026.190360376982,0
1045.247751519654,1
1048.296248364277,0
1049.668929117113,1
1052.717425961736,0
1071.774817104408,1
1074.823313949031,0
1080.617172299326,1
1083.665669143949,0
1089.459527494244,1
1092.508024338867,0
1098.301882689162,1
1101.350379533785,0
1120.407770676457,1
1120.608391983111,2
1123.45626752108,1
1123.656888827734,0
1129.311207990363,1
1129.511829297017,2
1132.359704834986,1
1132.56032614164,0
