"queueLength:vector OppNet.Q2 ($0=11, $1=7.5, #0 - PreliminarySimulation-1-20191008-08:07:21-8328)",
0,0
2.530110023542,1
3.901619679614,0
4.989468292339,1
6.360977948411,0
14.826901367527,1
14.897653122272,2
16.198411023599,1
16.269162778344,0
19.745617905121,1
21.117127561193,0
36.9611257867,1
38.332635442772,0
49.257917130685,1
50.629426786757,0
51.717275399482,1
53.088785055554,0
64.014066743467,1
65.385576399539,0
73.851499818655,1
75.223009474727,0
78.770216356249,1
80.141726012321,0
91.067007700234,1
92.438517356306,0
98.445082506625,1
99.816592162697,0
108.282515581813,1
109.654025237885,0
115.660590388204,1
117.032100044276,0
142.713531344971,1
144.085041001043,0
177.144547108129,1
178.516056764201,0
186.981980183317,1
187.052731938062,2
188.353489839389,1
188.424241594134,0
199.278771527302,1
200.650281183374,0
201.738129796099,1
203.109639452171,0
204.197488064896,1
205.568997720968,0
206.656846333693,1
206.727598088438,2
208.028355989765,1
208.09910774451,0
209.11620460249,1
209.186956357235,2
210.487714258562,1
210.558466013307,0
221.412995946475,1
222.784505602547,0
231.250429021663,1
232.621938677735,0
233.70978729046,1
235.081296946532,0
236.169145559257,1
237.540655215329,0
241.087862096851,1
242.459371752923,0
258.30336997843,1
258.374121733175,2
259.674879634502,1
259.745631389247,0
265.681444784821,1
267.052954440893,0
268.140803053618,1
269.51231270969,0
277.978236128806,1
279.349745784878,0
282.8969526664,1
284.268462322472,0
287.815669203994,1
289.187178860066,0
290.275027472791,1
290.345779227536,2
291.646537128863,1
291.717288883608,0
295.193744010385,1
296.565253666457,0
300.112460547979,1
300.183212302724,2
300.253964057469,3
300.324715812214,4
301.483970204051,3
301.554721958796,2
301.625473713541,1
301.696225468286,0
302.571818816776,1
303.943328472848,0
322.246684967152,1
323.618194623224,0
327.165401504746,1
328.536911160818,0
339.462192848731,1
339.532944603476,2
340.833702504803,1
340.904454259548,0
344.380909386325,1
345.752419042397,0
346.840267655122,1
348.211777311194,0
349.299625923919,1
350.671135579991,0
359.137058999107,1
360.508568655179,0
396.027433031062,1
397.398942687134,0
398.486791299859,1
399.858300955931,0
410.783582643844,1
412.155092299916,0
413.242940912641,1
414.614450568713,0
423.080373987829,1
424.451883643901,0
425.539732256626,1
426.911241912698,0
445.214598407002,1
446.586108063074,0
455.05203148219,1
456.423541138262,0
457.511389750987,1
458.882899407059,0
459.970748019784,1
461.342257675856,0
469.808181094972,1
471.179690751044,0
479.64561417016,1
479.716365924905,2
481.017123826232,1
481.087875580977,0
487.023688976551,1
488.395198632623,0
491.942405514145,1
493.313915170217,0
494.401763782942,1
495.773273439014,0
504.23919685813,1
505.610706514202,0
506.698555126927,1
508.070064782999,0
509.157913395724,1
510.529423051796,0
516.535988202115,1
516.60673995686,2
517.907497858187,1
517.978249612932,0
521.454704739709,1
521.525456494454,2
521.596208249199,3
522.826214395781,2
522.896966150526,1
522.967717905271,0
523.914063008506,1
525.285572664578,0
533.751496083694,1
535.123005739766,0
538.670212621288,1
540.04172227736,0
543.588929158882,1
544.960438814954,0
548.507645696476,1
549.879155352548,0
553.42636223407,1
554.797871890142,0
570.641870115649,1
572.013379771721,0
582.938661459634,1
584.310171115706,0
585.398019728431,1
586.769529384503,0
595.235452803619,1
596.606962459691,0
609.991602416401,1
611.363112072473,0
612.450960685198,1
613.82247034127,0
619.829035491589,1
621.200545147661,0
622.288393760386,1
623.659903416458,0
632.125826835574,1
633.497336491646,0
634.585185104371,1
635.956694760443,0
637.044543373168,1
638.41605302924,0
639.503901641965,1
640.875411298037,0
644.422618179559,1
645.794127835631,0
659.178767792341,1
660.550277448413,0
669.016200867529,1
670.387710523601,0
671.475559136326,1
672.847068792398,0
673.934917405123,1
675.306427061195,0
686.231708749108,1
687.60321840518,0
703.447216630687,1
704.818726286759,0
715.744007974672,1
715.814759729417,2
717.115517630744,1
717.186269385489,0
718.203366243469,1
719.574875899541,0
720.662724512266,1
722.034234168338,0
723.122082781063,1
723.192834535808,2
724.493592437135,1
724.56434419188,0
752.634382006627,1
754.005891662699,0
757.553098544221,1
758.924608200293,0
760.012456813018,1
761.38396646909,0
767.390531619409,1
768.762041275481,0
777.227964694597,1
778.599474350669,0
782.146681232191,1
783.518190888263,0
789.524756038582,1
790.896265694654,0
801.821547382567,1
803.193057038639,0
806.740263920161,1
808.111773576233,0
814.118338726552,1
815.489848382624,0
831.333846608131,1
831.404598362876,2
832.705356264203,1
832.776108018948,0
841.171279683319,1
842.542789339391,0
855.927429296101,1
855.998181050846,2
857.298938952173,1
857.369690706918,0
863.305504102492,1
864.677013758564,0
875.602295446477,1
876.973805102549,0
887.899086790462,1
