"queueLength:vector OppNet.Q2 ($0=54, $1=10, #0 - PreliminarySimulation-6-20191008-08:07:21-8328)",
0,0
6.832273276387,1
7.328771114714,0
53.361377496317,1
53.857875334644,0
56.220364274835,1
56.716862113162,0
59.079351053353,1
59.57584889168,0
61.938337831871,1
62.434835670198,0
67.443998394717,1
67.940496233044,0
74.272995849727,1
74.769493688054,0
79.778656412573,1
80.2751542509,0
83.960980083255,1
84.457477921582,0
85.496629969609,1
85.993127807936,0
89.678953640291,1
90.175451478618,0
113.711330693433,1
114.20782853176,0
127.157012609263,1
127.65351044759,0
131.339336279945,1
131.835834118272,0
161.988397793907,1
162.484895632234,0
163.524047680261,1
164.020545518588,0
165.059697566615,1
165.556195404942,0
175.858705698117,1
176.355203536444,0
185.334376937455,1
185.830874775782,0
197.456721961121,1
197.953219799448,0
208.255730092623,1
208.75222793095,0
216.408064439797,1
216.904562278124,0
257.643821091071,1
258.140318929398,0
264.472818546081,1
264.969316384408,0
273.948489785419,1
274.444987623746,0
276.807476563937,1
277.303974402264,0
290.253158479767,1
290.749656318094,0
298.405492826941,1
298.901990665268,0
310.527837850607,1
311.024335688934,0
313.386824629125,1
313.883322467452,0
320.215822084135,1
320.712319922462,0
323.074808862653,1
323.57130670098,0
357.693881053107,1
358.190378891434,0
400.252974596545,1
400.749472434872,0
411.051982728047,1
411.548480566374,0
412.587632614401,1
413.084130452728,0
422.063303853739,1
422.559801692066,0
427.568964416585,1
428.065462254912,0
429.104614302939,1
429.601112141266,0
431.963601081457,1
432.460098919784,0
445.409282997287,1
445.905780835614,0
461.501638697445,1
461.998136535772,0
481.564005074095,1
482.060502912422,0
487.069665636941,1
487.566163475268,0
488.605315523295,1
489.101813361622,0
500.727660546961,1
501.224158385288,0
502.263310433315,1
502.759808271642,0
530.265698162949,1
530.762196001276,0
533.124684941467,1
533.621182779794,0
538.630345504313,1
539.12684334264,0
546.782679851487,1
547.279177689814,0
556.258351090825,1
556.754848929152,0
573.674043683147,1
574.170541521474,0
576.533030461665,1
577.029528299992,0
599.242070622643,1
599.73856846097,0
606.071068077653,1
606.56756591598,0
627.456771346467,1
627.953269184794,0
628.992421232821,1
629.488919071148,0
634.498081795667,1
634.994579633994,0
640.003742358513,1
640.50024019684,0
650.802750490015,1
651.299248328342,0
714.535234308077,1
715.031732146404,0
722.687568655251,1
723.184066493578,0
725.546555433769,1
726.043053272096,0
727.082205320123,1
727.57870315845,0
743.174561020281,1
743.671058858608,0
772.500285642079,1
772.996783480406,0
775.359272420597,1
775.855770258924,0
790.128291228591,1
790.624789066918,0
791.663941114945,1
792.160438953272,0
805.109623030775,1
