"queueLength:vector OppNet.Q3 ($0=11, $1=10, #0 - PreliminarySimulation-0-20191008-08:07:21-8328)",
0,0
33.555422414668,1
33.689320511335,0
264.735099681586,1
266.697821477277,0
345.893922551887,1
346.599941863127,0
380.324938315045,1
380.819051542515,0
424.593387153391,1
424.697347049757,0
436.890178497376,1
436.960930252121,2
438.068330260225,1
439.278785011428,2
439.954811153199,1
443.510395388302,0
476.239910798128,1
477.258927212473,0
481.158627335722,1
484.110450473713,0
638.55755653873,1
638.693889101179,0
724.635095946625,1
724.70584770137,2
725.046637228842,1
725.441149190118,0
850.062367655272,1
850.713585194333,0
987.786430707904,1
988.169505433293,0
1145.185359910912,1
1147.398215629795,0
1337.015304877078,1
1337.836207222921,0
1361.608887565048,1
1363.455228052082,0
1371.446320640236,1
1371.663109767054,0
1383.743111984221,1
1383.91009346861,0
1423.092844284973,1
1423.379103447693,0
1538.611931163687,1
1539.270016554555,0
1614.922789251139,1
1616.50426013207,0
1819.04952556129,1
1819.134406103944,0
2062.525994172193,1
2063.062251184468,0
2133.847383967306,1
2134.455842062095,0
2574.072514081969,1
2576.399597509866,0
2576.461120596021,1
2577.740516860781,0
2736.390159822571,1
2736.421051319601,0
2748.686951166556,1
2749.321014191986,0
2810.170907886481,1
2810.830700218021,0
2824.927057499263,1
2825.802205491689,0
3314.339352989866,1
3314.769917695111,0
3410.254325472949,1
3410.325077227694,2
3410.437818781161,1
3410.661333701811,0
3498.791223149641,1
3498.982693880938,0
3528.303522375205,1
3528.610664982157,0
3543.059671987987,1
3543.130423742732,2
3543.720269040746,1
3544.439217070048,0
3816.048439824454,1
3818.223979421916,0
3818.437046338506,1
3818.946414342937,0
3833.263947706033,1
3833.604624108881,0
3843.101380781221,1
3843.766013920396,0
3907.044695769943,1
3907.115447524688,2
3907.933956042881,1
3908.189589615335,0
3924.260203651522,1
3924.267246301976,0
4133.305656499267,1
4133.983951535722,0
4332.513676271824,1
4332.93328200528,0
4384.160199916561,1
4385.066654634398,0
4386.548806430613,1
4387.47739996563,0
4765.360731580096,1
4765.937634479507,0
4782.576239461675,1
4782.735080035277,0
4787.494955999269,1
4791.505617767793,0
4895.706719826337,1
4896.320444057984,0
4947.353243471074,1
4947.661143102995,0
4957.190676546262,1
4957.261428301007,2
4957.316139336928,1
4957.347649943403,0
4991.62169230942,1
4992.400070616838,0
4998.999767115811,1
4999.618884815301,0
5146.490511488886,1
5146.828114206727,0
5217.882653038744,1
5217.970650473196,0
5242.476235726714,1
5242.546987481459,2
5244.045961911743,1
5245.232390473643,0
5254.773027070699,1
5255.417716541117,0
5436.765538961677,1
5438.191761437937,0
5606.46125950867,1
5606.4647350705,0
5864.693877732355,1
5864.951114249566,0
5891.746818689122,1
5892.29950603194,0
5943.393342333859,1
5944.189868842089,0
5965.527566753032,1
5965.598318507777,2
5966.045125938043,1
5966.513979976388,0
5990.121149441002,1
5990.146449249985,0
6135.223287300025,1
6135.341675321355,0
6218.841468439123,1
6219.027218675831,0
6226.219543245514,1
6226.290295000259,2
6226.441781532427,1
6229.96324328738,0
6263.109917277469,1
6263.284943983755,0
6349.187456685364,1
6350.251589592188,0
6381.159114179725,1
6381.439982690609,0
6464.777295318823,1
6465.380072124622,0
6548.395476457921,1
6549.580636430959,0
6592.663925296267,1
6592.870091777733,0
6673.822748166568,1
6673.893499921313,2
6675.242325217889,1
6675.288037078376,0
6759.900287574463,1
6761.28775455954,0
6833.610283883628,1
6835.217063018519,0
6919.758575046268,1
6919.805330518238,0
6932.055366390253,1
6933.909344105214,0
6993.468571355433,1
6997.752678225556,0
7160.775685388374,1
7160.91294846884,0
7266.4573391919,1
7268.257162471934,0
7268.916697460697,1
7269.058954152819,0
7431.305094956044,1
7432.262992934786,0
7460.817394181608,1
7461.581655060786,0
7517.311882609194,1
7517.581223399993,0
7664.944130491759,1
7665.848028088753,0
7694.456429717323,1
7694.856041876679,0
7696.845036231375,1
7697.429964935323,0
7800.208835275594,1
7800.431870900513,0
7869.07086680191,1
7870.488699268628,0
7908.420599102662,1
7908.491350857407,2
7908.533908402178,1
7909.439161820546,0
7915.798673909053,1
7916.214765772536,0
7960.067122747399,1
7961.125851528651,0
8090.41311099364,1
8090.668737749759,0
8129.762843294392,1
8130.274565690384,0
8265.027548078227,1
8265.155704869976,0
8309.295996916573,1
8309.668789259533,0
8427.345193818829,1
8427.524464325677,0
8530.638241108303,1
8531.732372011959,0
8695.415245117702,1
8695.904606288769,0
8754.43984356883,1
8754.792821882486,0
8756.828450082882,1
8756.899201837627,2
8758.142171047476,1
8760.875614462275,0
8830.679949901537,1
8831.390289055479,0
8892.163906621462,1
8892.466837578699,0
8926.59492238462,1
8927.558282406468,0
8953.647863341387,1
8955.027871183557,0
8956.036469855439,1
8956.172583588868,0
9027.428611405297,1
9027.736636382789,0
9216.799198102666,1
9217.54566905273,0
9273.364438284997,1
9273.391746330284,0
9814.423257420337,1
9814.813884177166,0
9841.476198377104,1
9842.376223453273,0
