"queueLength:vector OppNet.Q3 ($0=17, $1=10, #0 - PreliminarySimulation-3-20191008-08:07:21-8328)",
0,0
65.546847129011,1
66.141103733001,0
96.556172430212,1
97.441145332041,0
198.365421409745,1
198.479340279035,0
224.953569113487,1
225.889322756722,0
264.805249609606,1
264.956948522582,0
331.183995690479,1
332.135766306491,0
388.781468695422,1
390.628212180713,0
428.633149191541,1
428.704605801558,0
477.327184882578,1
477.713409703805,0
512.757687781238,1
513.773418904041,0
517.239947497685,1
517.598236839084,0
526.143384811591,1
528.465659829575,0
627.952633791124,1
629.70548261607,0
645.698426299948,1
647.062308912968,0
791.719451254071,1
791.882111188526,0
844.834664542567,1
846.272689009186,0
867.00163464885,1
867.200679199549,0
884.747427157674,1
885.046800511963,0
995.337949213137,1
995.55222436695,0
1273.99430209103,1
1275.770085514559,0
1313.907064706137,1
1314.625171227402,0
1473.130540333649,1
1473.27116353205,0
1645.678630872526,1
1646.278722305472,0
1716.478554550858,1
1716.949117307379,0
1725.381991864764,1
1725.60911164042,0
1800.664175259543,1
1800.778602655493,0
1862.621743742957,1
1862.768310916317,0
1937.842845018748,1
1939.433396480658,0
1964.43099272249,1
1964.448286834207,0
1968.913252438937,1
1972.107741427334,0
2008.764932935056,1
2010.024300189346,0
2128.258892304425,1
2128.661034849207,0
2159.268217605626,1
2159.326854225475,0
2371.606906521634,1
2372.171781346881,0
2508.724494161851,1
2509.697509336587,0
2663.587874310892,1
2664.055381983169,0
2690.176022014634,1
2690.235817423617,0
2712.342992120917,1
2713.215208135611,0
2933.462954112855,1
2934.153974766025,0
3088.265252142908,1
3089.23406441544,0
3238.646372575502,1
3240.28754441303,0
3450.98506149151,1
3450.999961293384,0
3508.521452377465,1
3509.481263559515,0
3517.424889691371,1
3518.615493655821,0
3539.591859797654,1
3539.736006710526,0
3570.662267217843,1
3570.939923932281,0
3610.513947713962,1
3610.587048371594,0
3730.007907083331,1
3732.366580637402,0
3827.334896346417,1
3827.595861863983,0
3862.826481364065,1
3865.633952431572,0
3884.993451470348,1
3886.135046793037,0
3920.423954369008,1
3921.816408847999,0
3933.748569280373,1
3935.761352636001,0
3951.494361789197,1
3951.8816556794,0
