"queueLength:vector OppNet.Q3 ($0=54, $1=10, #0 - PreliminarySimulation-6-20191008-08:07:21-8328)",
0,0
314.098911283019,1
315.239333802335,0
502.975397087209,1
503.417168351885,0
852.775439892979,1
853.011213771719,0
942.451117711893,1
943.486182447638,0
1219.892257437023,1
1220.409234912514,0
1258.007255388565,1
1258.474430915532,0
1314.436656836213,1
1314.737842049888,0
1517.608076532993,1
1518.94737819546,0
1526.185036868547,1
1527.456670507956,0
1527.720686754901,1
1529.885584919693,0
1591.877796561343,1
1593.344581188772,0
2668.657851011811,1
2668.950600947519,0
3108.345884630685,1
3108.710859201748,0
3230.843212832485,1
3231.784375018022,0
3232.378862718839,1
3232.675623396214,0
4022.291565131863,1
4022.647087555976,0
4876.050146503091,1
4879.049773174402,0
5480.745142940179,1
5481.427511608069,0
5485.139779605051,1
5486.912788073286,0
5766.812701927887,1
5767.950111700833,0
5798.997413328203,1
5799.648712327604,0
6605.066407654503,1
6606.602057540857,2
6607.057186826991,1
6607.634659158201,0
6762.607434035137,1
6764.555647507072,0
6783.306739394357,1
6784.18538829939,0
7754.580532246967,1
7755.369524771084,0
8014.131894464371,1
8015.641387756418,0
8210.000231790737,1
8211.85825344255,0
8435.668378654305,1
8436.377515239297,0
8800.187981341045,1
8800.493867648055,0
9266.717919864555,1
9267.115404491018,0
9317.379888828143,1
9317.938644009005,0
9403.771953880159,1
9403.835112688309,0
9879.827022570031,1
9880.446070847404,0
9962.461389939745,1
9962.633655660163,0
9963.997039826099,1
9964.649625238403,0
