"queueLength:vector OppNet.Q2 ($0=17, $1=10, #0 - PreliminarySimulation-3-20191008-08:07:21-8328)",
0,0
4.621798904113,1
7.670295748736,0
26.727686891408,1
29.776183736031,0
44.412397281244,1
47.460894125867,0
48.833574878703,1
51.882071723326,0
62.09710767108,1
62.297728977734,2
65.145604515703,1
65.346225822357,0
71.000544984986,1
74.049041829609,0
93.106432972281,1
93.307054278935,2
96.154929816904,1
96.355551123558,0
119.694580676023,1
122.743077520646,0
128.536935870941,1
128.737557177595,2
131.585432715564,1
131.786054022218,0
150.703905977224,1
153.752402821847,0
155.125083574683,1
158.173580419306,0
159.546261172142,1
162.594758016765,0
168.38861636706,1
171.437113211683,0
172.809793964519,1
175.858290809142,0
177.230971561978,1
180.279468406601,0
181.652149159437,1
184.70064600406,0
186.073326756896,1
189.121823601519,0
194.915681951814,1
195.116303258468,2
197.964178796437,1
198.164800103091,0
208.240296863179,1
211.288793707802,0
212.661474460638,1
215.709971305261,0
217.082652058097,1
220.13114890272,0
221.503829655556,1
221.70445096221,2
224.552326500179,1
224.752947806833,0
225.986089372003,1
229.034586216626,0
230.407266969462,1
233.455763814085,0
234.828444566921,1
237.876941411544,0
252.513154956757,1
255.56165180138,0
261.355510151675,1
261.556131458329,2
264.404006996298,1
264.604628302952,0
270.258947465581,1
273.307444310204,0
279.101302660499,1
282.149799505122,0
292.364835452876,1
295.413332297499,0
296.786013050335,1
299.834509894958,0
301.207190647794,1
304.255687492417,0
323.313078635089,1
326.361575479712,0
327.734256232548,1
327.934877539202,2
330.782753077171,1
330.983374383825,0
336.637693546454,1
339.686190391077,0
345.480048741372,1
348.528545585995,0
363.164759131208,1
363.365380437862,2
366.213255975831,1
366.413877282485,0
385.331729237491,1
385.532350544145,2
388.380226082114,1
388.580847388768,0
403.077521746315,1
406.126018590938,0
420.762232136151,1
423.810728980774,0
425.18340973361,1
425.384031040264,2
428.231906578233,1
428.432527884887,0
442.929202242434,1
445.977699087057,0
473.877445424647,1
474.078066731301,2
476.92594226927,1
477.126563575924,0
482.780882738553,1
485.829379583176,0
509.307948323307,1
509.508569629961,2
509.709190936615,3
512.35644516793,2
512.557066474584,1
513.790208039754,2
516.838704884377,1
517.039326191031,0
522.69364535366,1
522.894266660314,2
525.742142198283,1
525.942763504937,0
527.175905070107,1
527.376526376761,2
527.577147683415,3
530.22440191473,2
530.425023221384,1
534.706661631177,0
549.34287517639,1
552.391372021013,0
589.133473553521,1
592.181970398144,0
593.55465115098,1
596.603147995603,0
615.660539138275,1
618.709035982898,0
620.081716735734,1
623.130213580357,0
624.502894333193,1
624.703515639847,2
627.551391177816,1
627.75201248447,0
637.827509244558,1
640.876006089181,0
642.248686842017,1
642.449308148671,2
645.29718368664,1
645.497804993294,0
646.730946558464,1
649.779443403087,0
659.994479350841,1
663.042976195464,0
664.4156569483,1
667.464153792923,0
668.836834545759,1
671.885331390382,0
673.258012143218,1
676.306508987841,0
677.679189740677,1
677.879811047331,2
680.7276865853,1
680.928307891954,0
691.003804652042,1
694.052301496665,0
730.794403029173,1
733.842899873796,0
735.215580626632,1
738.264077471255,0
739.636758224091,1
742.685255068714,0
748.479113419009,1
751.527610263632,0
752.900291016468,1
755.948787861091,0
761.742646211386,1
764.791143056009,0
766.163823808845,1
769.212320653468,0
788.26971179614,1
788.470333102794,2
791.318208640763,1
791.518829947417,0
832.542569889718,1
835.591066734341,0
841.384925084636,1
841.58554639129,2
844.433421929259,1
844.634043235913,0
845.867184801083,1
848.915681645706,0
850.288362398542,1
853.336859243165,0
863.551895190919,1
863.752516497573,2
866.600392035542,1
866.801013342196,0
881.297687699743,1
881.498309006397,2
884.346184544366,1
884.54680585102,0
890.201125013649,1
893.249621858272,0
894.622302611108,1
897.670799455731,0
912.307013000944,1
915.355509845567,0
943.255256183157,1
946.30375302778,0
952.097611378075,1
955.146108222698,0
960.939966572993,1
963.988463417616,0
991.888209755206,1
992.08883106186,2
994.936706599829,1
995.137327906483,0
1018.476357458948,1
1021.524854303571,0
1022.897535056407,1
1025.94603190103,0
1027.318712653866,1
1030.367209498489,0
1031.739890251325,1
1034.788387095948,0
1049.424600641161,1
1052.473097485784,0
1080.372843823374,1
1083.421340667997,0
1089.215199018292,1
1092.263695862915,0
1137.848152590341,1
1140.896649434964,0
1146.690507785259,1
1146.891129091913,2
1149.739004629882,1
1149.939625936536,0
1182.121010683919,1
1185.169507528542,0
1186.542188281378,1
1189.590685126001,0
1190.963365878837,1
1194.01186272346,0
1199.805721073755,1
1202.854217918378,0
1217.490431463591,1
1220.538928308214,0
1266.12338503564,1
1269.171881880263,0
1270.544562633099,1
1270.745183939753,2
1273.593059477722,1
1273.793680784376,0
1288.290355141923,1
1288.490976448577,2
1291.338851986546,1
1291.5394732932,0
1297.193792455829,1
1300.242289300452,0
1310.457325248206,1
1310.65794655486,2
1313.505822092829,1
1313.706443399483,0
1328.20311775703,1
1331.251614601653,0
1359.151360939243,1
1362.199857783866,0
1363.572538536702,1
1366.621035381325,0
1394.520781718915,1
1397.569278563538,0
1407.784314511292,1
1410.832811355915,0
1416.62666970621,1
1419.675166550833,0
1425.469024901128,1
1428.517521745751,0
1456.417268083341,1
1459.465764927964,0
1460.8384456808,1
1463.886942525423,0
