"queueLength:vector OppNet.Q1 ($0=17, $1=10, #0 - PreliminarySimulation-3-20191008-08:07:21-8328)",
0,0
3.490824185669,1
4.421177597459,0
25.460904759036,1
26.527065584754,0
41.90230227182,1
44.21177597459,0
47.182414355152,1
48.632953572049,0
57.863250679551,1
60.341468868883,2
61.896486364426,1
62.09710767108,0
68.912325703951,1
70.799923678332,0
88.568033019284,1
88.989517631708,2
92.905811665627,1
93.106432972281,0
118.118731691282,1
119.493959369369,0
126.568143136429,1
126.91730027638,2
128.336314564287,1
128.536935870941,0
147.896657446755,1
150.50328467057,0
154.582549901402,1
154.924462268029,0
157.766792749896,1
159.345639865488,0
165.790865000688,1
168.187995060406,0
169.352388386081,1
172.609172657865,0
175.959742448831,1
177.030350255324,0
179.286371729595,1
181.451527852783,0
182.82068406477,1
185.872705450242,0
191.06484179922,1
191.540551520908,2
194.71506064516,1
194.915681951814,0
207.08534880071,1
208.039675556525,0
212.270568837213,1
212.460853153984,0
215.791089828843,1
216.882030751443,0
217.426951828707,1
217.995209619217,2
221.303208348902,1
221.503829655556,0
225.285444453534,1
225.785468065349,0
228.743039789816,1
230.206645662808,0
230.959160481132,1
234.627823260267,0
248.759283213267,1
252.312533650103,0
258.268518372154,1
258.923390421136,2
261.154888845021,1
261.355510151675,0
266.797937672156,1
270.058326158927,0
274.597022996381,1
278.900681353845,0
290.940018891344,1
292.164214146222,0
293.464247278366,1
296.585391743681,0
299.352048004803,1
301.00656934114,0
321.243043594539,1
323.112457328435,0
325.213371007976,1
325.917367451715,2
327.533634925894,1
327.734256232548,0
332.076883286957,1
336.4370722398,0
342.841636474338,1
345.279427434718,0
360.627455739137,1
360.726828411439,2
362.964137824554,1
363.164759131208,0
382.595880352445,1
384.549537424114,2
385.131107930837,1
385.331729237491,0
399.554232633906,1
402.876900439661,0
418.534825375525,1
420.561610829497,0
421.166224401317,1
421.462129494107,2
424.982788426956,1
425.18340973361,0
439.075944895765,1
442.72858093578,0
469.497530430581,1
473.676824117993,0
473.677361804023,1
473.877445424647,0
480.46729344377,1
482.580261431899,0
506.069417600048,1
506.176950090379,2
506.856551904327,3
509.107327016653,2
509.307948323307,1
509.508569629961,0
511.511410670968,1
513.5895867331,0
520.169385008403,1
520.781969038164,2
522.493024047006,1
522.69364535366,0
522.981502689808,1
525.538466905376,2
526.408494079581,3
526.975283763453,2
527.175905070107,1
527.376526376761,0
547.938446671142,1
549.142253869736,0
585.55348738413,1
588.932852246867,0
591.55715638009,1
593.354029844326,0
612.117827941766,1
615.459917831621,0
617.111572934321,1
619.88109542908,0
620.31105280723,1
623.007917532976,2
624.302273026539,1
624.502894333193,0
635.9233378087,1
637.626887937904,0
639.078027942654,1
639.941621929486,2
642.048065535363,1
642.248686842017,0
644.92664427051,1
646.53032525181,0
656.161504152802,1
659.793858044187,0
663.593216600732,1
664.215035641646,0
667.617385381205,1
668.636213239105,0
671.975823160651,1
673.057390836564,0
674.462899476375,1
677.278208300997,2
677.478568434023,1
677.679189740677,0
690.276165231584,1
690.803183345388,0
729.718761950545,1
730.593781722519,0
732.600510218997,1
735.014959319978,0
739.28851662068,1
739.436136917437,0
747.063104552506,1
748.278492112355,0
748.671540452279,1
752.699669709814,0
757.195547538135,1
761.542024904732,0
765.594939312685,1
765.963202502191,0
784.422876989441,1
784.599447454957,2
788.069090489486,1
788.26971179614,0
828.833488407279,1
832.341948583064,0
838.567527385695,1
841.175366848487,2
841.184303777982,1
841.384925084636,0
842.010828078179,1
845.666563494429,0
848.252086738347,1
850.087741091888,0
860.737828494067,1
862.069208039854,2
863.351273884265,1
863.551895190919,0
879.420352343064,1
880.89088336155,2
881.097066393089,1
881.297687699743,0
886.219254904876,1
890.000503706995,0
893.196161917175,1
894.421681304454,0
911.939412709082,1
912.10639169429,0
939.334405091342,1
943.054634876503,0
948.47843728188,1
951.896990071421,0
956.550879408267,1
960.739345266339,0
989.859637649503,1
991.511592134598,2
991.687588448552,1
991.888209755206,0
1014.269784644572,1
1018.275736152294,0
1022.401945682568,1
1022.696913749753,0
1025.853793300803,1
1027.118091347212,0
1030.397043455654,1
1031.539268944671,0
1045.6759048708,1
1049.223979334507,0
1077.158685574901,1
1080.17222251672,0
1087.965907079333,1
1089.014577711638,0
1137.130483325329,1
1137.647531283687,0
1143.03179530618,1
1143.543622344084,2
1146.489886478605,1
1146.690507785259,0
1177.544649209812,1
1181.920389377265,0
1182.451209315316,1
1186.341566974724,0
1190.232759241963,1
1190.762744572183,0
1195.40076017936,1
1199.605099767101,0
1213.957731877466,1
1217.289810156937,0
1262.592166723255,1
1265.922763728986,0
1268.373745624145,1
1270.343941326445,0
1270.463492235936,1
1270.544562633099,0
1285.697367726422,1
1286.650933806997,2
1288.089733835269,1
1288.290355141923,0
1293.294568009647,1
1296.993171149175,0
1306.807655203409,1
1307.230209391647,2
1310.256703941552,1
1310.457325248206,0
1324.059922893335,1
1328.002496450376,0
1355.458273119348,1
1358.950739632589,0
1361.422108961929,1
1363.371917230048,0
1392.062796849779,1
