"config name","q1 length: mean","q1 length: var","q1 length: int l","q1 length: int r","q2 length: mean","q2 length: var","q2 length: int l","q2 length: int r","q3 length: mean","q3 length: var","q3 length: int l","q3 length: int r","lifetime: mean","lifetime: var ","lifetime: int l","lifetime: int r"
"General-0,2.5-#0","19.4417","170.345","8.5303","30.3531","2174.4475","1273174.1324","1231.1231","3117.7719","0.5047","0","0.5047","0.5047","5385.2688","7683046.3265","3067.9602","7702.5774"
"General-0,2.5-#1","19.4417","170.345","8.5303","30.3531","2174.4475","1273174.1324","1231.1231","3117.7719","0.5047","0","0.5047","0.5047","5385.2688","7683046.3265","3067.9602","7702.5774"
"General-0,2.5-#2","19.4417","170.345","8.5303","30.3531","2174.4475","1273174.1324","1231.1231","3117.7719","0.5047","0","0.5047","0.5047","5385.2688","7683046.3265","3067.9602","7702.5774"
"General-0,2.5-#3","19.4417","170.345","8.5303","30.3531","2174.4475","1273174.1324","1231.1231","3117.7719","0.5047","0","0.5047","0.5047","5385.2688","7683046.3265","3067.9602","7702.5774"
"General-0,2.5-#4","19.4417","170.345","8.5303","30.3531","2174.4475","1273174.1324","1231.1231","3117.7719","0.5047","0","0.5047","0.5047","5385.2688","7683046.3265","3067.9602","7702.5774"
"General-0,2.5-#5","19.4417","170.345","8.5303","30.3531","2174.4475","1273174.1324","1231.1231","3117.7719","0.5047","0","0.5047","0.5047","5385.2688","7683046.3265","3067.9602","7702.5774"
"General-0,2.5-#6","19.4417","170.345","8.5303","30.3531","2174.4475","1273174.1324","1231.1231","3117.7719","0.5047","0","0.5047","0.5047","5385.2688","7683046.3265","3067.9602","7702.5774"
"General-0,2.5-#7","19.4417","170.345","8.5303","30.3531","2174.4475","1273174.1324","1231.1231","3117.7719","0.5047","0","0.5047","0.5047","5385.2688","7683046.3265","3067.9602","7702.5774"
"General-0,2.5-#8","19.4417","170.345","8.5303","30.3531","2174.4475","1273174.1324","1231.1231","3117.7719","0.5047","0","0.5047","0.5047","5385.2688","7683046.3265","3067.9602","7702.5774"
"General-0,2.5-#9","19.4417","170.345","8.5303","30.3531","2174.4475","1273174.1324","1231.1231","3117.7719","0.5047","0","0.5047","0.5047","5385.2688","7683046.3265","3067.9602","7702.5774"
"General-0,5-#0","1.2091","0.005","1.15","1.2682","1.8361","0.0324","1.6856","1.9866","0.5065","1e-04","0.4981","0.5149","12.5164","0.409","11.9817","13.0511"
"General-0,5-#1","1.2091","0.005","1.15","1.2682","1.8361","0.0324","1.6856","1.9866","0.5065","1e-04","0.4981","0.5149","12.5164","0.409","11.9817","13.0511"
"General-0,5-#2","1.2091","0.005","1.15","1.2682","1.8361","0.0324","1.6856","1.9866","0.5065","1e-04","0.4981","0.5149","12.5164","0.409","11.9817","13.0511"
"General-0,5-#3","1.2091","0.005","1.15","1.2682","1.8361","0.0324","1.6856","1.9866","0.5065","1e-04","0.4981","0.5149","12.5164","0.409","11.9817","13.0511"
"General-0,5-#4","1.2091","0.005","1.15","1.2682","1.8361","0.0324","1.6856","1.9866","0.5065","1e-04","0.4981","0.5149","12.5164","0.409","11.9817","13.0511"
