"queueLength:vector OppNet.Q3 ($0=54, $1=5, #0 - PreliminarySimulation-8-20191008-08:07:21-8328)",
0,0
62.600965558741,1
62.982800722086,0
191.453206300147,1
192.621091075154,0
262.128082713361,1
262.569853978037,0
275.786077623381,1
275.965017077737,0
439.894329537811,1
440.130103416551,0
488.546563699641,1
489.581628435386,0
494.264537256677,1
494.382004914793,0
500.194823807903,1
501.141885528859,0
587.174368915465,1
587.307830037623,0
633.654014208371,1
634.170991683862,0
650.170995896909,1
650.341047065063,0
653.242295669617,1
654.777945555971,2
655.044810265071,1
655.441155432221,0
709.834551184431,1
710.639317715014,0
711.370201070785,1
711.854154788139,0
782.731475393593,1
783.150889328493,0
785.802775166301,1
787.142076828768,0
787.338425052655,1
787.448649949039,0
791.733061717527,1
792.516074272124,0
793.268711603881,1
794.944988683861,0
828.312409782715,1
829.779194410144,0
1363.847675338107,1
1364.140425273815,0
1507.893560875887,1
1508.850938815955,0
1567.132490175029,1
1567.943720233192,0
1568.668140061383,1
1568.880181010041,0
1574.598426612609,1
1574.963401183672,0
1641.989690258925,1
1642.658265922917,0
1868.033004183849,1
1868.997609522284,0
1869.568654070203,1
1872.427640848721,2
1872.6784729633,1
1873.161593645104,0
1920.230623033791,1
1921.622868005184,0
2039.720587676001,1
2040.34739743864,0
2041.256237562355,1
2042.238569749107,0
2488.750393039235,1
2490.286042925589,2
2491.750019710546,1
2492.182015903347,0
2619.088824739971,1
2620.064731651917,0
2716.605606057821,1
2717.184130331932,0
2771.874524680471,1
2772.556893348361,0
2776.269161345343,1
2776.718832921414,0
2849.590711542885,1
2850.737004393335,0
2859.491008770603,1
2862.174878175562,0
2862.349995549121,1
2862.38817629104,0
2883.261613902531,1
2884.173821662187,0
2900.889619489043,1
2901.540918488444,0
3106.722190256245,1
3107.425463045255,0
3193.864589430973,1
3195.955546457676,0
3259.507890196745,1
3260.928473351529,0
3390.745032801265,1
3394.927356471947,2
3395.339920057528,1
3396.147904811496,0
3396.463006358301,1
3396.503790863369,0
3400.857643023173,1
3401.736291928206,0
3477.462805987613,1
3477.854723875637,0
3588.849895209673,1
3589.629647634698,0
3594.355555772519,1
3594.371551482805,0
3766.665600961147,1
3767.003156994921,0
3887.577820349569,1
3888.041791357333,0
3946.604436654521,1
3946.670769206563,0
3974.345052462941,1
3974.486230428957,0
3989.538697259315,1
3989.71083446813,0
4002.297981265551,1
4002.425852313436,0
4022.947827697747,1
4024.457320989794,0
4024.483477584101,1
4024.633579313325,0
4035.020713794389,1
4035.02692926558,0
4042.486650231969,1
4043.420235657975,0
4107.655866082337,1
4109.51388773415,0
4366.846538524479,1
4367.104590230618,0
4596.336319283467,1
4597.036259964649,0
4597.871969169821,1
4599.407619056175,2
4600.943268942529,3
4601.113520044325,2
4601.900847222794,1
4602.478918828883,2
4603.07080974612,1
4603.746082424149,0
4612.591529050791,1
4613.064271377393,0
4641.655481751375,1
4642.052966377838,0
4657.273752536129,1
4657.354368198167,0
4671.144060440339,1
4671.702815621201,0
4716.724994829461,1
4721.156121632865,0
4886.926387362283,1
4887.080673652551,0
4888.462037248637,1
4888.756422978509,0
4901.433634249063,1
4902.052682526436,0
4902.969284135417,1
4904.260156421151,0
4905.828270913935,1
4906.304393905981,0
4919.224493902741,1
4919.396759623159,0
4920.760143789095,1
4921.412729201399,0
4925.367093448157,1
4925.588921323327,0
4949.350011574275,1
4949.551424172532,0
5006.628664998683,1
5006.807491936358,0
5048.664214699693,1
5049.21635106658,0
5123.358560716423,1
5124.368277453883,0
5124.894210602777,1
5125.221708382676,0
5173.334131770417,1
5174.025379959816,0
5256.131353207297,1
5258.642538851167,0
5260.313676877979,1
5263.38748992166,0
5288.054292686399,1
5289.376838204863,0
5325.482892728347,1
5326.634262622402,0
5327.018542614701,1
5327.028238259681,0
5329.877529393219,1
5331.920373253917,0
5361.800468872321,1
5362.593026187499,0
5363.336118758675,1
5363.425982618531,0
5369.478718304091,1
5370.54522208538,0
5371.014368190445,1
5371.972481785327,0
5372.550018076799,1
5372.820168733836,0
5519.830057454453,1
5520.088293006751,0
5551.752996933555,1
5553.613261353912,0
5655.037210735465,1
5655.339304247744,0
5701.941482016751,1
5701.993715399035,0
5825.500375189501,1
5826.300796329625,0
5858.109712578197,1
5858.234269856878,0
5889.770880136085,1
5890.550357969135,0
6147.899987607277,1
6148.80412083311,0
6252.556997228375,1
6254.147840796961,0
6287.126610491805,1
6287.973510207188,0
6302.957194270749,1
6303.585721879558,0
6501.635059448609,1
6503.084913299151,0
6503.170709334963,1
6503.22623712082,0
6518.788980119717,1
6519.36110775685,0
6521.860279892425,1
6522.425234815672,0
6523.395929778779,1
6524.931579665133,2
6525.336873610219,1
6526.467229551487,2
6527.357968161537,1
6528.002879437841,2
6528.444560173037,1
6528.830556685567,0
6530.861866216359,1
6531.785685074949,0
6532.397516102713,1
6532.768270594507,0
6555.057097336667,1
6555.349978319684,0
6586.343097833199,1
6586.504433636495,0
6680.788579378341,1
6681.355870052854,0
6682.324229264695,1
6683.6961908859,0
6683.859879151049,1
6684.442668183947,0
6717.106155522315,1
6718.241278505933,0
6805.621350516231,1
6806.655954103586,0
6876.034455008231,1
6876.228723419241,0
6949.780631194153,1
6949.826202254731,0
6976.834849092979,1
6977.142912175226,0
6978.370498979333,1
6978.480449457075,0
7197.959982510603,1
7201.691155131802,0
7351.955624203125,1
7352.284440752856,0
7412.517890394431,1
7412.608740703053,0
7525.490088429869,1
7525.717553703091,0
7583.143908915633,1
7583.758203203217,0
7602.307564388499,1
7602.384975244709,0
7709.561788866901,1
7710.569630655927,0
7711.097438753255,1
7711.410552899755,0
7742.333980322763,1
7742.412431475311,0
7841.909955369395,1
7843.024866847909,0
7927.778476578983,1
7927.984449597445,0
7930.849776351691,1
7932.385426238045,2
7933.16950848322,1
7933.170965309975,0
7971.561989160537,1
7973.097639046891,2
7973.74415465323,1
7976.862540780297,0
7977.279962717573,1
7979.327183094696,0
7981.462286388255,1
7981.774938801464,0
8053.035873705253,1
8053.156979492022,0
8065.582844717299,1
8065.703423505673,0
8082.736765388407,1
8083.009545813329,0
8084.272415274761,1
8084.641912334427,0
8190.627928849379,1
8191.799573019808,0
8198.093865286959,1
8199.024717979714,0
8385.760409339127,1
8385.859287952744,0
8395.660706566845,1
8396.250085767106,0
8442.140351859751,1
8442.551042755154,0
8620.706391733937,1
8620.71024487906,0
8695.825363739047,1
8696.399113703552,0
8768.509974954019,1
8770.57600177653,0
8810.807296576243,1
8811.321220417743,0
8953.268073300645,1
8953.720855258251,0
8959.198359851871,1
8959.493551202888,0
9097.738584826805,1
9097.899157762638,0
9119.074829168595,1
9119.685119844884,0
9149.886744749723,1
9150.161778131856,0
9345.493310154875,1
9347.363341850538,0
9363.545941729767,1
9363.576756820179,0
9369.688541275183,1
9370.019955057435,0
9378.902440593307,1
9379.922271240053,0
9380.438090479661,1
9382.300280059048,0
9443.010091472725,1
9444.09704389027,0
9445.869078251243,1
9446.09834445663,0
9455.769375478961,1
9455.784418573716,0
9540.951498778955,1
9541.779011358901,0
9557.468480467493,1
9558.54435109422,0
9559.004130353847,1
9559.071595445026,0
9633.224391455173,1
9634.20690674317,0
9790.878812975949,1
9792.414462862303,2
9792.637605021762,1
9792.66389051776,0
9876.959647179727,1
9877.054514655031,0
9993.477229903277,1
9995.547821500936,0
