"queueLength:vector OppNet.Q2 ($0=17, $1=5, #0 - PreliminarySimulation-5-20191008-08:07:21-8328)",
0,0
4.621798904113,1
7.670295748736,0
13.464154099031,1
16.512650943654,0
22.306509293949,1
25.355006138572,0
26.727686891408,1
29.776183736031,0
31.148864488867,1
34.19736133349,0
35.570042086326,1
38.618538930949,0
39.991219683785,1
40.191840990439,2
43.039716528408,1
43.240337835062,0
48.894656997691,1
51.943153842314,0
57.737012192609,1
60.785509037232,0
62.158189790068,1
65.206686634691,0
71.000544984986,1
71.20116629164,2
71.401787598294,3
74.049041829609,2
74.249663136263,1
75.482804701433,2
78.531301546056,1
78.73192285271,0
79.96506441788,1
83.013561262503,0
84.386242015339,1
87.434738859962,0
88.807419612798,1
89.008040919452,2
89.208662226106,3
89.40928353276,4
91.855916457421,3
92.056537764075,2
93.289679329245,3
96.338176173868,2
96.538797480522,1
97.771939045692,2
100.820435890315,1
101.021057196969,0
106.675376359598,1
106.875997666252,2
107.076618972906,3
109.723873204221,2
109.924494510875,1
114.206132920668,0
115.578813673504,1
118.627310518127,0
119.999991270963,1
120.200612577617,2
123.048488115586,1
123.24910942224,0
124.48225098741,1
124.682872294064,2
127.530747832033,1
127.731369138687,0
133.385688301316,1
133.58630960797,2
136.434185145939,1
136.634806452593,0
137.867948017763,1
140.916444862386,0
142.289125615222,1
145.337622459845,0
146.710303212681,1
146.910924519335,2
147.111545825989,3
149.758800057304,2
149.959421363958,1
154.241059773751,0
164.456095721505,1
167.504592566128,0
168.877273318964,1
169.077894625618,2
169.278515932272,3
171.925770163587,2
172.126391470241,1
176.408029880034,0
177.78071063287,1
180.829207477493,0
182.201888230329,1
182.402509536983,2
185.250385074952,1
185.451006381606,0
195.526503141694,1
195.727124448348,2
198.574999986317,1
198.775621292971,0
204.4299404556,1
207.478437300223,0
213.272295650518,1
213.472916957172,2
213.673538263826,3
216.320792495141,2
216.521413801795,1
220.803052211588,0
222.175732964424,1
225.224229809047,0
226.596910561883,1
229.645407406506,0
231.018088159342,1
231.218709465996,2
234.066585003965,1
234.267206310619,0
235.500347875789,1
238.548844720412,0
248.763880668166,1
248.96450197482,2
251.812377512789,1
252.012998819443,0
253.246140384613,1
256.294637229236,0
262.088495579531,1
262.289116886185,2
262.489738192839,3
262.690359499493,4
262.890980806147,5
265.136992424154,4
265.337613730808,3
269.619252140601,2
269.819873447255,1
274.101511857048,0
279.895370207343,1
282.943867051966,0
297.580080597179,1
300.628577441802,0
302.001258194638,1
305.049755039261,0
310.843613389556,1
313.892110234179,0
315.264790987015,1
315.465412293669,2
318.313287831638,1
318.513909138292,0
319.747050703462,1
322.795547548085,0
324.168228300921,1
327.216725145544,0
328.58940589838,1
328.790027205034,2
331.637902743003,1
331.838524049657,0
337.492843212286,1
337.69346451894,2
340.541340056909,1
340.741961363563,0
346.396280526192,1
346.596901832846,2
349.444777370815,1
349.645398677469,0
350.878540242639,1
353.927037087262,0
364.142073035016,1
367.190569879639,0
372.984428229934,1
373.185049536588,2
373.385670843242,3
376.032925074557,2
376.233546381211,1
380.515184791004,0
395.151398336217,1
395.352019642871,2
398.19989518084,1
398.400516487494,0
399.633658052664,1
402.682154897287,0
404.054835650123,1
407.103332494746,0
408.476013247582,1
411.524510092205,0
421.739546039959,1
424.788042884582,0
435.003078832336,1
435.20370013899,2
438.051575676959,1
438.252196983613,0
457.170048938619,1
460.218545783242,0
461.591226536078,1
461.791847842732,2
461.992469149386,3
464.639723380701,2
464.840344687355,1
466.073486252525,2
469.121983097148,1
469.322604403802,0
474.976923566431,1
478.025420411054,0
479.39810116389,1
482.446598008513,0
488.240456358808,1
488.441077665462,2
488.641698972116,3
491.288953203431,2
491.489574510085,1
492.722716075255,2
495.771212919878,1
495.971834226532,0
497.204975791702,1
497.405597098356,2
500.253472636325,1
500.454093942979,0
506.108413105608,1
509.156909950231,0
510.529590703067,1
513.57808754769,0
514.950768300526,1
517.999265145149,0
519.371945897985,1
522.420442742608,0
528.214301092903,1
531.262797937526,0
532.635478690362,1
535.683975534985,0
537.056656287821,1
537.257277594475,2
540.105153132444,1
540.305774439098,0
545.960093601727,1
549.00859044635,0
563.644803991563,1
566.693300836186,0
568.065981589022,1
571.114478433645,0
572.487159186481,1
572.687780493135,2
575.535656031104,1
575.736277337758,0
576.969418902928,1
577.170040209582,2
580.017915747551,1
580.218537054205,0
594.715211411752,1
594.915832718406,2
597.763708256375,1
597.964329563029,0
603.618648725658,1
606.667145570281,0
612.461003920576,1
615.509500765199,0
634.566891907871,1
637.615388752494,0
638.98806950533,1
639.188690811984,2
642.036566349953,1
642.237187656607,0
647.891506819236,1
648.09212812589,2
650.940003663859,1
651.140624970513,0
652.373766535683,1
652.574387842337,2
655.422263380306,1
655.62288468696,0
665.698381447048,1
668.746878291671,0
670.119559044507,1
673.16805588913,0
687.804269434343,1
688.004890740997,2
690.852766278966,1
691.05338758562,0
705.550061943167,1
708.59855878779,0
709.971239540626,1
713.019736385249,0
718.813594735544,1
721.862091580167,0
723.234772333003,1
723.435393639657,2
726.283269177626,1
726.48389048428,0
727.71703204945,1
727.917653356104,2
730.765528894073,1
730.966150200727,0
732.199291765897,1
732.399913072551,2
735.24778861052,1
735.448409917174,0
736.681551482344,1
