"queueLength:vector OppNet.Q3 ($0=11, $1=5, #0 - PreliminarySimulation-2-20191008-08:07:21-8328)",
0,0
4.043123189104,1
6.058388473383,0
11.421197995495,1
11.555096092162,0
36.014780683465,1
37.707729418057,0
127.011036628954,1
128.973758424645,0
141.767186241736,1
141.831306585046,0
193.413709886473,1
193.907823113943,0
230.304083918428,1
230.408043814794,0
237.682158724819,1
237.752910479564,2
237.823662234309,3
238.860310487668,2
239.765708586646,1
240.070765238871,2
241.65218947962,1
245.207773714723,0
264.735099681586,1
264.812272448213,0
333.597131207902,1
335.940891776924,0
368.02814697106,1
368.164479533509,0
385.243654852639,1
385.929544627298,0
387.703013121436,1
387.707344951177,0
407.377879271812,1
407.448631026557,2
408.063008214873,1
408.545301251835,0
409.837237540609,1
409.907989295354,2
410.546541700332,1
410.993880850935,0
424.593387153391,1
425.786043331351,0
459.024402916549,1
459.533144406779,0
466.40247772294,1
466.907509735124,0
473.780552529331,1
474.431770068392,0
500.833493486098,1
502.719179337869,0
530.345792711662,1
530.346713640684,0
564.77680847482,1
565.662335981999,0
596.748465969181,1
598.961321688064,0
613.96397385076,1
614.544458553044,0
685.285363645873,1
685.639852780997,0
700.041513258655,1
700.862415604498,0
724.635095946625,1
726.481436433659,0
729.553812484219,1
729.770601611037,0
736.93188729061,1
737.098868774999,0
741.850603828204,1
742.169109814746,0
756.606753440986,1
756.893012603706,0
773.822261322565,1
773.89301307731,2
774.397328187214,1
774.426119651409,0
783.659694397753,1
783.730446152498,2
783.801035227434,1
784.7269799096,0
805.793918816926,1
805.864670571671,2
808.182525330978,3
808.82837866633,2
809.994495088161,1
810.738636067604,0
845.143651117678,1
845.907680377597,0
872.26734382919,1
872.647511256651,0
938.599265331964,1
939.423949692527,0
941.058623600761,1
941.321687821112,0
955.814773213543,1
955.840055872811,0
970.570922826325,1
971.076702251251,0
1000.083222051889,1
1000.37320695331,0
1098.457552803769,1
1098.761953935883,0
1130.42921029813,1
1130.788481134783,0
1132.888568566927,1
1133.024954230431,0
1137.807285104521,1
1140.139726582881,0
1140.195891618573,1
1141.856237951286,0
1184.535092211664,1
1184.785298366308,0
1216.506749706025,1
1218.895356220077,2
1219.117228485747,1
1219.569468480515,0
1263.163805058423,1
1263.937377310542,0
1275.531348157153,1
1275.602099911898,2
1275.990144513765,1
1277.33106386468,0
1373.905678909033,1
1375.60442545846,0
1376.294285423085,1
1378.581072868957,0
1405.877336403394,1
1406.686356792644,0
1413.255411209785,1
1414.130559202211,0
1457.523860048131,1
1458.114423246803,0
1489.495517542492,1
1489.505830219722,0
1489.566269297237,1
1490.767162077789,0
1499.33295061768,1
1499.907290644268,0
1506.711025424071,1
1507.514097148361,0
1509.099631938123,1
1510.004586457481,0
1582.951131756778,1
1583.021883511523,2
1584.04879486269,1
1584.28869481586,0
1624.760222326327,1
1624.967735766386,0
1634.597655401515,1
1635.02822010676,0
1673.947387702267,1
1675.475641747755,0
1683.784820777455,1
1683.8555725322,2
1683.968314085667,1
1684.191829006317,0
1698.540970390237,1
1699.193782118609,0
1723.134553078207,1
1724.356477605091,0
1728.053269615801,1
1728.244740347098,0
1745.26877749738,1
1745.575920104332,0
1752.646852303771,1
1752.717604058516,2
1753.30744935653,1
1754.026397385832,0
1784.618509798132,1
1785.008382464635,0
1819.04952556129,1
1820.363111686061,0
1875.614765743621,1
1876.269943416968,0
1878.003372257673,1
1878.50271463625,0
1887.911557087606,1
1888.712297763994,0
1897.748990162794,1
1897.819741917539,2
1897.8766576015,1
1900.122948953707,0
1900.137596676846,1
1900.636479552528,0
1907.586423237982,1
1908.157118093268,0
1912.505139775576,1
1912.575891530321,2
1912.913484751348,1
1913.469057616455,0
1942.01743900114,1
1942.906699274078,0
1951.854872076328,1
1951.861914726782,0
2023.176261871441,1
2023.396492969205,0
2055.147919365802,1
2055.826214402257,0
2092.038293397757,1
2093.299965947366,0
2094.497651666554,1
2095.796356031472,0
2109.183049524591,1
2111.364496482443,0
2119.091234354524,1
2119.161986109269,2
2120.838499626291,1
2121.419296298171,0
2121.479840868576,1
2122.976592582844,0
2151.062891848885,1
2151.13364360363,2
2151.969346566722,1
2152.776730370149,0
2153.451498362937,1
2155.187475701381,0
2155.910856631734,1
2156.333523918591,0
2249.437222600765,1
2250.732835742818,0
2251.825829114817,1
2252.630038499925,0
2313.380537589487,1
2313.564061143384,0
2333.055403739863,1
2333.632306639274,0
2342.892836815051,1
2342.963588569796,2
2345.281443329103,3
2345.352195083848,4
2346.903498583575,3
2347.130933590877,2
2347.132729880739,1
2347.621693690972,0
2367.486419503021,1
2368.689630593923,0
2426.511017954149,1
2426.900369132856,0
2443.726525835728,1
2444.221222071973,0
2460.942033717307,1
2460.970271326633,0
2461.012785472052,1
2462.233950691962,0
2500.291766018059,1
2500.670118331863,0
2507.66984082445,1
2508.693491263884,0
2534.722781781217,1
2535.10083855782,0
2583.909947157157,1
2583.997944591609,0
2613.422246382721,1
2614.066935853139,0
2697.040427521819,1
2697.962084480485,0
2701.959144059413,1
2702.029895814158,2
2702.140385370073,1
2702.475293340031,0
2741.308876360165,1
2741.476241257528,0
2778.19925039212,1
2778.80017905307,0
2783.117966929714,1
2783.121442491544,0
2844.601923649639,1
2845.20667904082,0
2851.909246701285,1
2853.096960466764,0
2883.951655950391,1
2884.42062555956,0
2908.545238638361,1
2911.374521807729,0
2923.301388251143,1
2923.558624768354,0
2935.598179595128,1
2936.150866937946,0
2977.407270164677,1
2977.478021919422,2
2977.924829349688,1
2978.393683388033,0
2992.163419777459,1
2992.234171532204,2
2993.998606247025,1
2994.094657810753,0
3024.13507727182,1
3024.400172113786,0
3073.32224264776,1
3073.44063066909,0
3090.537750529339,1
3091.779864337084,0
3102.834541873324,1
3103.639639647741,0
3120.050049754903,1
3120.235799991611,0
3132.346841098888,1
3132.417592853633,2
3132.569079385801,1
3136.090541140754,0
3152.021707249264,1
