"queueLength:vector OppNet.Q2 ($0=11, $1=5, #0 - PreliminarySimulation-2-20191008-08:07:21-8328)",
0,0
2.530110023542,1
2.600861778287,2
3.901619679614,1
3.972371434359,0
9.908184829933,1
9.978936584678,2
11.279694486005,1
11.35044624075,0
14.826901367527,1
16.198411023599,0
24.664334442715,1
26.035844098787,0
34.501767517903,1
34.572519272648,2
35.873277173975,1
35.94402892872,0
44.339200593091,1
45.710710249163,0
49.257917130685,1
50.629426786757,0
54.176633668279,1
55.548143324351,0
61.55470847467,1
62.926218130742,0
66.473425012264,1
67.844934668336,0
71.392141549858,1
72.76365120593,0
78.770216356249,1
80.141726012321,0
95.985724237828,1
97.3572338939,0
118.119948657001,1
119.491458313073,0
125.498023463392,1
125.568775218137,2
126.869533119464,1
126.940284874209,0
132.876098269783,1
134.247607925855,0
135.33545653858,1
136.706966194652,0
137.794814807377,1
139.166324463449,0
140.254173076174,1
140.324924830919,2
141.625682732246,1
141.696434486991,0
150.091606151362,1
151.463115807434,0
157.469680957753,1
158.841190613825,0
159.92903922655,1
161.300548882622,0
167.307114032941,1
168.678623689013,0
169.766472301738,1
171.13798195781,0
172.225830570535,1
173.597340226607,0
179.603905376926,1
180.975415032998,0
191.900696720911,1
191.971448475656,2
193.272206376983,1
193.342958131728,0
196.819413258505,1
198.190922914577,0
199.278771527302,1
200.650281183374,0
221.412995946475,1
222.784505602547,0
223.872354215272,1
225.243863871344,0
226.331712484069,1
227.703222140141,0
228.791070752866,1
228.861822507611,2
230.162580408938,1
230.233332163683,0
231.250429021663,1
232.621938677735,0
236.169145559257,1
236.239897314002,2
236.310649068747,3
236.381400823492,4
237.540655215329,3
237.611406970074,2
237.682158724819,1
237.752910479564,0
238.628503828054,1
240.000013484126,0
250.925295172039,1
252.296804828111,0
253.384653440836,1
254.756163096908,0
263.222086516024,1
263.292838270769,2
264.593596172096,1
264.664347926841,0
265.681444784821,1
267.052954440893,0
270.600161322415,1
271.971670978487,0
290.275027472791,1
291.646537128863,0
295.193744010385,1
296.565253666457,0
322.246684967152,1
323.618194623224,0
324.706043235949,1
326.077552892021,0
332.08411804234,1
332.154869797085,2
333.455627698412,1
333.526379453157,0
337.002834579934,1
338.374344236006,0
339.462192848731,1
340.833702504803,0
344.380909386325,1
345.752419042397,0
349.299625923919,1
350.671135579991,0
351.758984192716,1
353.130493848788,0
354.218342461513,1
355.589852117585,0
361.596417267904,1
362.967926923976,0
366.515133805498,1
366.585885560243,2
367.88664346157,1
367.957395216315,0
371.433850343092,1
372.805359999164,0
373.893208611889,1
375.264718267961,0
376.352566880686,1
377.724076536758,0
383.730641687077,1
383.801393441822,2
385.102151343149,1
385.172903097894,0
386.189999955874,1
386.260751710619,2
387.561509611946,1
387.632261366691,0
405.86486610625,1
405.935617860995,2
406.00636961574,3
407.236375762322,2
407.307127517067,1
407.377879271812,0
408.324224375047,1
408.394976129792,2
408.465727884537,3
409.695734031119,2
409.766485785864,1
409.837237540609,0
415.702299181438,1
417.07380883751,0
420.621015719032,1
421.992525375104,0
423.080373987829,1
423.151125742574,2
424.451883643901,1
424.522635398646,0
425.539732256626,1
426.911241912698,0
437.836523600611,1
439.208033256683,0
440.295881869408,1
441.66739152548,0
447.673956675799,1
449.045466331871,0
457.511389750987,1
457.582141505732,2
458.882899407059,1
458.953651161804,0
464.889464557378,1
464.960216312123,2
466.26097421345,1
466.331725968195,0
472.267539363769,1
472.338291118514,2
473.639049019841,1
473.709800774586,0
474.726897632566,1
476.098407288638,0
477.186255901363,1
478.557765557435,0
482.104972438957,1
483.476482095029,0
491.942405514145,1
493.313915170217,0
496.861122051739,1
498.232631707811,0
499.320480320536,1
499.391232075281,2
500.691989976608,1
500.762741731353,0
509.157913395724,1
510.529423051796,0
518.995346470912,1
520.366856126984,0
528.8327795461,1
528.903531300845,2
530.204289202172,1
530.275040956917,0
531.292137814897,1
532.663647470969,0
533.751496083694,1
535.123005739766,0
536.210854352491,1
537.582364008563,0
541.129570890085,1
542.501080546157,0
543.588929158882,1
544.960438814954,0
548.507645696476,1
549.879155352548,0
550.967003965273,1
552.338513621345,0
555.885720502867,1
557.257230158939,0
563.263795309258,1
563.334547064003,2
564.63530496533,1
564.706056720075,0
568.182511846852,1
569.554021502924,0
575.560586653243,1
576.932096309315,0
578.01994492204,1
579.391454578112,0
582.938661459634,1
584.310171115706,0
595.235452803619,1
595.306204558364,2
596.606962459691,1
596.677714214436,0
602.61352761001,1
603.985037266082,0
612.450960685198,1
612.521712439943,2
613.82247034127,1
613.893222096015,0
617.369677222792,1
618.741186878864,0
624.747752029183,1
626.119261685255,0
632.125826835574,1
