"queueLength:vector OppNet.Q3 ($0=17, $1=5, #0 - PreliminarySimulation-5-20191008-08:07:21-8328)",
0,0
74.450284442917,1
74.504402564143,0
92.257159070729,1
92.459945467833,0
96.739418787176,1
96.853337656466,0
101.221678503623,1
101.435874799889,0
123.449730728894,1
124.673119240811,0
127.931990445341,1
128.492107951398,0
150.160042670612,1
151.710701011137,0
172.327012776895,1
172.987571725232,0
198.976242599625,1
200.822986084916,0
216.722035108449,1
216.917342147932,0
234.467827617273,1
237.594750037247,0
252.213620126097,1
252.708476497454,0
265.538235037462,1
267.060009938133,0
318.714530444946,1
319.54714276035,0
332.039145356311,1
332.73731284024,0
340.942582670217,1
341.336498359397,0
376.434167687865,1
376.717270845444,0
438.452818290267,1
438.615478224722,0
465.040965994009,1
465.435272040619,0
469.523225710456,1
470.239094287092,0
491.690195816739,1
492.047727071069,0
496.172455533186,1
498.163433617113,0
500.654715249633,1
501.185616518222,0
540.506395745752,1
541.005663220144,0
580.419158360859,1
580.611061862645,0
598.164950869683,1
598.377769638021,0
642.437808963261,1
644.21359238679,0
651.341246277167,1
652.221671946014,0
691.254008892274,1
691.455657638245,0
739.930669633621,1
740.131290940275,2
741.824800358342,1
742.130643109606,0
784.465231152841,1
784.787827128877,0
828.738089246419,1
828.987484437833,0
895.300081684256,1
895.784441051542,0
926.309406985457,1
926.782112358368,0
939.634021896822,1
940.095563207646,0
957.440896524634,1
957.945774533203,0
966.34433383854,1
968.099980532379,0
970.826593554987,1
971.339680853883,0
988.572386063811,1
991.766875052208,0
1010.739356170094,1
1011.998723424384,0
1063.915651577578,1
1065.137797707924,0
1068.397911294025,1
1070.384189891538,0
1072.880171010472,1
1075.217235237519,0
1077.362430726919,1
1077.406914581884,0
1112.792933625579,1
1112.889484380538,0
1139.381081329321,1
1140.642956967546,0
1143.863341045768,1
1144.035420677418,0
1174.872666346969,1
1175.437541172216,0
1245.672590025301,1
1246.644320089166,0
1250.154849741748,1
1250.81624515387,0
1259.058287055654,1
1260.250744771002,0
1307.752322746691,1
1307.886513284107,0
1312.234582463138,1
1313.433803075435,0
1316.716842179585,1
1318.482424389461,0
1330.04145709095,1
1330.735236847383,0
1343.366072002315,1
1344.731892961324,0
1445.175320981848,1
1445.814237268556,0
1471.76346868559,1
1472.45448933876,0
1533.721037169004,1
1534.097887604699,0
1555.888007275287,1
1558.510393016386,0
1600.160865368865,1
1601.805339202003,0
1617.906657877689,1
1618.552982500415,0
1622.388917594136,1
1622.827215333353,0
1631.292354908042,1
1631.520349007635,0
1684.407568196538,1
1684.723963288554,0
1693.311005510444,1
1693.778861197139,0
1697.793265226891,1
1698.172589024493,0
1737.706027841998,1
1737.720927643872,0
1742.188287558445,1
1742.310707798332,0
1755.51290246981,1
1756.272427575673,0
1759.995162186257,1
1760.954973368307,0
1768.959681619151,1
1769.05042424701,0
1777.863118933057,1
1778.007265845929,0
1791.24881596341,1
1791.601219434449,0
1826.67931886207,1
1828.112734144348,0
1835.643838294964,1
1836.155283804983,0
1853.389630803788,1
1853.460404556771,0
1884.398956104989,1
1884.46384421058,0
1915.40828140619,1
1915.537414004865,0
1933.154073915014,1
1933.41503943258,0
1977.610178365556,1
1978.852138015891,0
1982.092438082003,1
1983.67931895054,0
1990.995875395909,1
1991.343101118761,0
2004.320490307274,1
2004.572055070648,0
2008.802750023721,1
2009.945216002511,0
2022.127364935086,1
2022.514658825289,0
2048.715512638828,1
2048.927216482719,0
2057.618949952734,1
2057.704815502446,0
2084.268179775464,1
2085.431254477789,0
2119.759764793112,1
2120.201458271361,0
2137.566639420924,1
2137.625679972701,0
2181.961661752478,1
2182.140885306013,0
2199.707454261302,1
2200.496230375145,0
2204.189713977749,1
2204.465285061897,0
2261.726104863704,1
2262.735781053163,0
2283.893074969987,1
2284.555541211647,0
2288.375334686434,1
2290.911213470355,0
2297.27877200034,1
2297.818925396869,0
2315.024564509164,1
2315.348163021014,0
2341.673794331894,1
2344.322572817378,0
2394.78900762039,1
2394.960727437932,0
2434.640688116509,1
2435.543901033607,0
2474.492368612628,1
2475.083267862593,0
2492.238161121452,1
2493.002167002401,0
2496.720420837899,1
2497.034556475455,0
2527.7297461391,1
2528.600387068021,0
2532.212005855547,1
2533.852937173067,0
2536.694265571994,1
2538.034649202472,0
2541.176525288441,1
2541.828015572961,0
2545.658785004888,1
2545.897724851183,0
2550.141044721335,1
2550.523645271605,0
2576.729192425077,1
2577.900091391567,0
2660.914813133762,1
2660.922484167857,0
2665.397072850209,1
2666.343671498726,0
2683.142865359033,1
2683.746812700724,0
2736.380242885505,1
2736.603090805907,0
2749.70485779687,1
2750.120168481934,0
2767.511732424682,1
2768.18608850517,0
2785.257524933506,1
2785.404695587115,0
2878.163336599133,1
2880.860408768325,0
2918.015017095252,1
2918.415778533236,0
2922.497276811699,1
2923.067775736511,0
2931.461796244593,1
2932.102253490281,0
2949.268670872405,1
2949.381792030705,0
2958.172108186311,1
2959.719452343559,0
2962.654367902758,1
2963.208492223306,0
2967.136627619205,1
2967.252261159746,0
2971.418266028998,1
2971.618887335652,2
2972.05488767297,1
2972.079854664389,0
2980.522324649558,1
2981.377248520809,0
3002.750376874829,1
3002.976108006503,0
3020.496169383653,1
3020.507602696392,0
3086.935997583514,1
3087.960234036287,0
3135.752197512527,1
3135.853027290686,0
3224.297913699683,1
3224.83865906392,0
3237.683610730036,1
3237.994312661751,0
3264.271758433778,1
3266.668311275691,0
3277.596373345143,1
3277.788258207449,0
3290.920988256508,1
3290.97072172615,0
3299.824425570414,1
3299.965448189492,0
3308.72786288432,1
3312.794960574979,0
3313.009501294113,1
3313.031217432432,0
3313.210122600767,1
3313.248784068947,0
3326.656901750108,1
3327.538489795601,0
3393.035647830981,1
3393.111660064029,0
3397.517907547428,1
3397.757108370863,0
3406.421344861334,1
3407.153678487387,0
3415.32478217524,1
3416.471839604837,0
3486.124705853572,1
3486.307776398291,0
3490.606965570019,1
3491.326146270499,0
3495.089225286466,1
3496.276050221302,0
3499.571485002913,1
3499.579040220005,0
3512.896099914278,1
3512.986458052025,0
3517.378359630725,1
3519.244029119276,0
3521.860619347172,1
3522.210696375362,0
3544.027589453455,1
3545.143820823395,0
3557.35220436482,1
3557.960299440007,0
3561.834464081267,1
3561.966582747906,0
3566.316723797714,1
3568.454605457641,0
3570.798983514161,1
3571.808353690008,0
3584.123598425526,1
3585.339860800253,0
3624.036361040633,1
3624.196763177913,0
3628.51862075708,1
3629.395958937231,0
3668.431383372187,1
3669.810817565105,0
3695.019531075929,1
3696.225423377151,0
3717.186501182212,1
3717.482828667121,0
3721.668760898659,1
3722.029688038711,0
3730.572198212565,1
3730.968888718858,0
3735.054457929012,1
3735.821696926092,0
3739.536717645459,1
3740.040328019694,0
3748.440154959365,1
3748.53399451482,0
3761.76476987073,1
3762.947746895925,0
3783.931739977013,1
3784.766070530104,0
3810.519887680755,1
3813.450144022289,0
3815.002147397202,1
3815.321256821784,0
3872.721784640121,1
3874.069857169005,0
3894.888754746404,1
3895.719670948259,0
3970.232020260171,1
3970.473381707873,0
3979.135457574077,1
3979.802501602012,0
3983.617717290524,1
3984.176021266991,0
3988.099977006971,1
3988.447550628754,0
3992.582236723418,1
3993.085206959689,0
4019.17038442716,1
4019.777266807667,0
4028.073821741066,1
4028.696351763141,0
4054.661969444808,1
4055.468176843933,0
4094.635814178903,1
4094.692414645068,0
4138.908672272481,1
4139.058392118387,0
4161.136724497752,1
4161.167831000802,0
4165.618984214199,1
4166.648710983891,0
4183.364776723023,1
4183.779473564485,0
4187.84703643947,1
4188.412459753238,0
4205.653911067282,1
4205.773380754416,0
4210.136170783729,1
4210.723565445088,0
4236.785400606459,1
4237.104663283166,0
4329.752294391074,1
4330.165762286504,0
4378.446330082111,1
4378.906451976797,0
4413.937915099759,1
4413.991931620388,0
4431.744789727571,1
4432.22584160517,0
4467.175292626231,1
4468.544558094039,0
4476.078729940137,1
4478.853722879666,0
4489.403344851502,1
4490.585859640711,0
4507.149137360326,1
4507.275025577279,0
4538.158462661527,1
4538.263860901534,0
4547.061899975433,1
4549.380320792654,0
4573.650047679175,1
4575.303467186553,0
4578.132307395622,1
4578.199892269526,0
4666.678023582778,1
4666.750418498425,0
4680.002638494143,1
4680.525418266763,0
4702.169608600426,1
4704.745190739886,0
4728.757756304168,1
4728.82104443413,0
4733.240016020615,1
4733.522994775915,0
4737.722275737062,1
4737.769908368321,0
4742.204535453509,1
4742.912322444361,0
4751.107972767415,1
4751.418940258508,0
4795.380830860993,1
4795.787303705162,0
4799.86309057744,1
4800.165250418552,0
4804.345350293887,1
4804.646202609661,0
4813.309869726781,1
4814.305557254221,0
4817.792129443228,1
4818.283430835164,0
4822.274389159675,1
4822.658734731085,0
4831.238908592569,1
4831.246939752626,0
4840.203428025463,1
4840.315945554582,0
4902.283160746853,1
4903.124505355177,0
4928.993472688571,1
4929.271324387825,0
4955.581620392313,1
4956.354195000331,0
4968.906235303678,1
4970.793526695124,0
4986.652027812502,1
4987.549766188972,0
5026.503708308621,1
5027.90211575851,0
5030.985968025068,1
5031.70772619231,0
5035.468227741515,1
5035.58227469614,0
5039.950487457962,1
5040.411012831599,0
5044.432747174409,1
5047.201886102732,0
5119.714930569188,1
5120.560053166752,0
5124.197190285635,1
5124.481288070356,0
5159.688775303283,1
5160.193147422669,0
5168.592212617189,1
5168.72383821427,0
5186.338005126013,1
5187.783656859588,0
5195.241442439919,1
5197.586645357867,0
5208.566057351284,1
5209.093934823123,0
5217.46949466519,1
5218.108950111031,0
5248.539902085379,1
5249.149016131204,0
5253.022161801826,1
5253.554958844774,0
5275.189131908109,1
5275.460887579691,0
5279.671391624556,1
5279.785398732739,0
5288.574828938462,1
5288.702574482518,0
5297.478266252368,1
5299.069997208616,0
5315.224058761192,1
5315.488711251103,0
5324.127496075098,1
5325.646456247296,0
5328.609755791545,1
5329.980889522562,0
5333.092015507992,1
5334.816048580723,0
5364.101340809193,1
5365.361659657631,0
5377.425955720558,1
5378.168487356117,0
5390.750570631923,1
5391.368448624265,0
5399.654007945829,1
5400.162983835374,0
5435.084510844489,1
5436.207545693087,0
5448.409125755854,1
5448.618843708218,0
5452.690764165647,1
5452.891385472301,2
5452.917302421669,1
5455.263361559561,0
5479.479533176043,1
5482.17495816539,0
5483.96179289249,1
5484.126704487228,0
5497.286407803855,1
5497.958888456562,0
5501.768667520302,1
5502.235677802475,0
5510.733186953196,1
5511.091724813256,0
5515.215446669643,1
5515.263791940713,0
5519.69770638609,1
5519.90959381954,0
5546.34693620882,1
5546.690905816351,0
5550.829195925267,1
5551.094215563816,0
5559.732633239173,1
5560.183097406873,0
5564.21489295562,1
5568.428617231792,0
5568.496531365413,1
5568.632582621555,0
5568.697152672067,1
5568.831280179425,0
5577.600589985973,1
5577.798522527882,0
5582.08284970242,1
5583.135710143209,0
5590.986287016326,1
5592.170343107906,0
5595.468546732773,1
5596.283911107263,0
5648.383138714615,1
5648.914429214417,0
5754.753104479273,1
5755.441384303553,0
5785.823511899462,1
5786.058451710364,0
5812.411659603204,1
5815.390042104585,0
5821.31509691711,1
5822.017618341452,0
5830.279616350004,1
5830.885366853559,0
5905.561799744783,1
5907.506464528168,0
5963.220354868714,1
5963.666431437003,0
6007.493212962292,1
6010.628049977583,0
6011.975472678739,1
6013.293147241599,0
6025.300087590104,1
6027.447285773188,0
6029.782347306551,1
6030.124328025331,0
6051.949317412834,1
6052.536059599618,0
6065.273932324199,1
6065.792945861944,0
6069.756192040646,1
6072.016085162573,0
6074.238451757093,1
6074.714182341778,0
6105.247777058294,1
6106.804343703132,0
6136.257102359495,1
6137.032202407427,0
6140.739362075942,1
6140.957378222761,0
6149.642799389848,1
6149.927491830832,0
6167.388591898672,1
6168.248880571446,0
6185.134384407496,1
6185.691182824383,0
6189.616644123943,1
6190.63179458194,0
6194.09890384039,1
6194.914063530712,0
6203.063423273284,1
6203.73178539826,0
6207.545682989731,1
6208.362751452514,0
6247.39736348585,1
6249.758644943829,0
6260.721978397215,1
6261.147843762056,0
6269.625415711121,1
6269.912019835378,0
6318.319451402158,1
6318.428972602256,0
6349.328776703359,1
6350.041473385808,0
6353.811036419806,1
6353.959966258144,0
6358.293296136253,1
6359.382284134721,0
6371.617911047618,1
6372.831776570817,0
6376.100170764065,1
6376.730386822591,0
6380.582430480512,1
6380.85949864755,0
6385.064690196959,1
6388.813445405515,0
6389.346328606752,1
6389.546949913406,2
6392.940872655803,1
6393.622973614952,0
6393.828588323199,1
6394.029209629853,2
6394.495760808016,1
6395.570955661329,0
6402.932646943759,1
6403.740812782941,0
6442.845409558866,1
6443.011120940561,0
6447.327669275313,1
6448.314496818554,0
6451.80992899176,1
6452.620185568343,0
6460.713366305666,1
6461.597162424045,0
6478.45915881449,1
6480.094358888948,0
6482.941418530937,1
6482.952424529669,0
6487.423678247384,1
6488.56010629936,0
6505.169470756208,1
6505.789237018356,0
6593.83735118134,1
6594.531745180693,0
6607.223048211693,1
6607.29929977576,0
6616.126485525599,1
6617.480155726901,0
6651.556988424259,1
6652.068862720492,0
6669.302780933083,1
6670.287746084602,0
6673.78504064953,1
6674.059393105367,0
6687.109655560895,1
6687.804284671876,0
6696.013092874801,1
6696.571516663063,0
6700.495352591248,1
6700.717631954444,0
6704.977612307695,1
6705.500897936504,0
6709.459872024142,1
6709.891335557221,0
6740.469197325343,1
6741.071184822404,0
6744.95145704179,1
6746.95532274725,0
6749.433716758237,1
6750.947899999287,0
6753.915976474684,1
6754.746264928117,0
6776.082946580967,1
6776.837544488516,0
6780.565206297414,1
6781.959181804612,0
6789.46864361132,1
6790.236229468579,0
6793.950903327767,1
6794.65784373017,0
6820.539051031509,1
6820.814637972772,0
6851.54837633271,1
6852.254340232569,0
6864.872991244075,1
6865.443396018161,0
6882.618783752899,1
6883.336060845814,0
6891.522221066805,1
6891.53288563615,0
6909.268013575629,1
6909.370805008595,0
6913.750273292076,1
6913.879432613053,0
6922.71479272497,1
6923.079205373808,0
6953.724118026171,1
6954.294277798951,0
6958.206377742618,1
6958.399743375403,0
7002.540317955184,1
7003.378000239688,0
7029.128465658926,1
7030.296698795776,0
7046.87425816775,1
7048.272305543386,0
7055.777695481656,1
7056.863742140958,0
7064.681132795562,1
7066.481968504585,0
7069.163392512009,1
7069.401234430098,0
7078.066829825915,1
7078.711448013016,0
7104.654977529657,1
7104.889263873813,0
7109.137237246104,1
7109.403178491611,0
7118.101756678998,1
7118.19568754679,0
7122.584016395445,1
7122.892814579295,0
7153.593341696646,1
7153.671335266003,0
7197.927281909212,1
7198.316272567623,0
7202.409541625659,1
7202.59318609043,0
7206.891801342106,1
7207.705436455655,0
7251.225741554672,1
7251.549764821278,0
7264.550356466037,1
7264.581099397817,0
7295.620763886226,1
7296.450635159473,0
7353.157154772181,1
7354.37484878298,0
7357.639414488628,1
7359.717917888429,0
7361.921052898421,1
7362.076436845169,0
7362.121674205075,1
7363.302792266719,0
7366.603933921522,1
7367.304893778045,0
7375.507371235428,1
7375.725200420929,0
7379.989630951875,1
7380.13484850317,0
7397.735423460699,1
7398.365692447925,0
7402.217683177146,1
7402.439014974629,0
7406.699942893593,1
7408.902197838226,0
7411.18220261004,1
7411.429590098166,0
7415.664462326487,1
7415.720151734146,0
7428.989077237852,1
7432.75882884438,0
7433.270715647645,1
7433.371408863496,0
7433.471336954299,1
7434.361053857042,0
7469.024004090935,1
7469.666221717941,0
7526.621477095878,1
7526.835174128105,0
7557.691884516067,1
7558.569614196952,0
7579.919936741338,1
7580.025494111523,0
7655.202120136117,1
7659.715251151733,0
7673.008994763929,1
7673.113305254341,0
7677.491254480376,1
7678.579118982974,0
7695.2370469892,1
7695.339805346348,0
7699.719306705647,1
7699.828572223544,0
7704.201566422094,1
7705.264161163968,0
7735.271973842283,1
7735.28118356992,0
7744.236493275177,1
7744.482595788453,0
7753.201012708071,1
7754.457616229998,0
7775.367982814354,1
7775.580752055452,0
7801.956130518096,1
7804.161134873512,0
7828.605360340826,1
7828.990945807157,0
7841.991057371179,1
7845.155275039908,0
7846.272695780972,1
7846.473317087626,2
7846.918198960065,1
7848.616288497301,0
7890.807257300192,1
7891.579468830294,0
7913.035309525463,1
7913.426459729244,0
7952.94807214057,1
7953.069447031528,0
7957.430331857017,1
7959.225112739089,0
8006.124367548054,1
8006.173892089506,0
8010.606627264501,1
8012.052083874137,0
8081.467633061821,1
8081.764052047828,0
8085.949892778268,1
8087.400770313767,0
8094.853330092174,1
8095.639338280115,0
8099.335589808621,1
8099.789117206838,0
